date,day,useage
2016-03-01,화,
2016-03-02,수,4
2016-03-03,목,23
2016-03-04,금,32
2016-03-05,토,
2016-03-06,일,
2016-03-07,월,30
2016-03-08,화,33
2016-03-09,수,43
2016-03-10,목,44
2016-03-11,금,55
2016-03-12,토,
2016-03-13,일,
2016-03-14,월,35
2016-03-15,화,53
2016-03-16,수,53
2016-03-17,목,54
2016-03-18,금,62
2016-03-19,토,
2016-03-20,일,
2016-03-21,월,36
2016-03-22,화,58
2016-03-23,수,52
2016-03-24,목,59
2016-03-25,금,58
2016-03-26,토,
2016-03-27,일,
2016-03-28,월,49
2016-03-29,화,53
2016-03-30,수,58
2016-03-31,목,48
2016-04-01,금,55
2016-04-02,토,
2016-04-03,일,
2016-04-04,월,39
2016-04-05,화,67
2016-04-06,수,64
2016-04-07,목,71
2016-04-08,금,75
2016-04-09,토,
2016-04-10,일,
2016-04-11,월,48
2016-04-12,화,69
2016-04-13,수,
2016-04-14,목,71
2016-04-15,금,62
2016-04-16,토,
2016-04-17,일,
2016-04-18,월,46
2016-04-19,화,62
2016-04-20,수,66
2016-04-21,목,71
2016-04-22,금,59
2016-04-23,토,
2016-04-24,일,
2016-04-25,월,47
2016-04-26,화,62
2016-04-27,수,64
2016-04-28,목,71
2016-04-29,금,57
2016-04-30,토,
2016-05-01,일,
2016-05-02,월,39
2016-05-03,화,57
2016-05-04,수,67
2016-05-05,목,
2016-05-06,금,
2016-05-07,토,
2016-05-08,일,
2016-05-09,월,45
2016-05-10,화,64
2016-05-11,수,62
2016-05-12,목,63
2016-05-13,금,61
2016-05-14,토,
2016-05-15,일,
2016-05-16,월,50
2016-05-17,화,77
2016-05-18,수,70
2016-05-19,목,75
2016-05-20,금,70
2016-05-21,토,
2016-05-22,일,
2016-05-23,월,55
2016-05-24,화,83
2016-05-25,수,79
2016-05-26,목,72
2016-05-27,금,81
2016-05-28,토,
2016-05-29,일,
2016-05-30,월,49
2016-05-31,화,77
2016-06-01,수,64
2016-06-02,목,75
2016-06-03,금,65
2016-06-04,토,
2016-06-05,일,
2016-06-06,월,
2016-06-07,화,64
2016-06-08,수,72
2016-06-09,목,73
2016-06-10,금,50
2016-06-11,토,
2016-06-12,일,
2016-06-13,월,45
2016-06-14,화,67
2016-06-15,수,69
2016-06-16,목,75
2016-06-17,금,59
2016-06-18,토,
2016-06-19,일,
2016-06-20,월,44
2016-06-21,화,63
2016-06-22,수,68
2016-06-23,목,64
2016-06-24,금,70
2016-06-25,토,
2016-06-26,일,
2016-06-27,월,42
2016-06-28,화,58
2016-06-29,수,61
2016-06-30,목,57
2016-07-01,금,44
2016-07-02,토,
2016-07-03,일,
2016-07-04,월,39
2016-07-05,화,67
2016-07-06,수,80
2016-07-07,목,64
2016-07-08,금,57
2016-07-09,토,
2016-07-10,일,
2016-07-11,월,39
2016-07-12,화,73
2016-07-13,수,73
2016-07-14,목,75
2016-07-15,금,77
2016-07-16,토,
2016-07-17,일,
2016-07-18,월,51
2016-07-19,화,72
2016-07-20,수,70
2016-07-21,목,69
2016-07-22,금,70
2016-07-23,토,
2016-07-24,일,
2016-07-25,월,39
2016-07-26,화,62
2016-07-27,수,66
2016-07-28,목,68
2016-07-29,금,75
2016-07-30,토,
2016-07-31,일,
