ณฏยฅ, ฦ๒ฑีฑโฟย, รึฐํฑโฟย, รึภ๚ฑโฟย, ฦ๒ฑีฟ๎ทฎ, ภฯฐญผ๖ทฎ
2016-01-01, 2.7กษ, 6.9กษ, -1.6กษ,7,  -
2016-01-02, 5.0กษ, 9.2กษ, 1.8กษ,7.6, 0.3mm
2016-01-03, 2.0กษ, 7.7กษ, -2.3กษ,1.1,  -
2016-01-04, 3.9กษ, 8.9กษ, 1.0กษ,2.6,  -
2016-01-05, 3.8กษ, 7.3กษ, -0.1กษ,8.4,  -
2016-01-06, 5.4กษ, 11.4กษ, 2.5กษ,4.1,  -
2016-01-07, 4.6กษ, 10.5กษ, 0.0กษ,3,  -
2016-01-08, 6.5กษ, 10.9กษ, 4.0กษ,8.1, 0.0mm
2016-01-09, 1.5กษ, 4.3กษ, -3.1กษ,4.3, 0.0mm
2016-01-10, -3.7กษ, 1.1กษ, -7.4กษ,0.8,  -
2016-01-11, -3.8กษ, 1.5กษ, -9.4กษ,1.9,  -
2016-01-12, -2.2กษ, 1.0กษ, -6.1กษ,2.1, 0.0mm
2016-01-13, -6.0กษ, -1.4กษ, -8.6กษ,1.8, 0.6mm
2016-01-14, -8.4กษ, -5.4กษ, -10.5กษ,0,  -
2016-01-15, -6.6กษ, -0.9กษ, -11.5กษ,0,  -
2016-01-16, -3.8กษ, 4.0กษ, -8.9กษ,0.1,  -
2016-01-17, -2.0กษ, 3.4กษ, -7.1กษ,4.4,  -
2016-01-18, -0.5กษ, 2.8กษ, -3.0กษ,4, 0.0mm
2016-01-19, -1.2กษ, 4.7กษ, -4.9กษ,6.3,  -
2016-01-20, -4.4กษ, -1.4กษ, -7.8กษ,4.8, 4.0mm
2016-01-21, -5.2กษ, -0.9กษ, -10.0กษ,5.3, 2.1mm
2016-01-22, -8.3กษ, -3.3กษ, -10.9กษ,0, 0.0mm
2016-01-23, -8.9กษ, -4.1กษ, -12.6กษ,0,  -
2016-01-24, -7.0กษ, -1.3กษ, -11.6กษ,0,  -
2016-01-25, -5.2กษ, 0.9กษ, -10.2กษ,0,  -
2016-01-26, -1.3กษ, 3.4กษ, -7.9กษ,6.9, 0.3mm
2016-01-27, -2.6กษ, 3.1กษ, -5.7กษ,1.6, 3.0mm
2016-01-28, -1.6กษ, 4.3กษ, -8.2กษ,6.6,  -
2016-01-29, 0.8กษ, 2.5กษ, -0.9กษ,9.6, 4.5mm
2016-01-30, -4.8กษ, -0.9กษ, -7.9กษ,2.9, 0.1mm
2016-01-31, -5.4กษ, 0.2กษ, -9.9กษ,3.1,  -
2016-02-01, -4.0กษ, 0.7กษ, -7.5กษ,1.4,  -
2016-02-02, -2.7กษ, 3.3กษ, -9.2กษ,1.3,  -
2016-02-03, 1.5กษ, 6.7กษ, -2.3กษ,2.3,  -
2016-02-04, 0.9กษ, 3.2กษ, -2.9กษ,7,  -
2016-02-05, 1.2กษ, 2.3กษ, -1.5กษ,7.3, 0.5mm
2016-02-06, -1.7กษ, 2.6กษ, -4.4กษ,0,  -
2016-02-07, -2.0กษ, 3.0กษ, -5.6กษ,5.3,  -
2016-02-08, -2.2กษ, 0.6กษ, -4.9กษ,6.8,  -
2016-02-09, -5.3กษ, -2.1กษ, -7.1กษ,1.5,  -
2016-02-10, -6.6กษ, -2.5กษ, -9.3กษ,0.9,  -
