위치,위도,경도
서울지방경찰청,37.5748167,126.9721807
서울강남경찰서,37.5094352,127.0669578
서울강동경찰서,37.528511,127.1268224
서울강북경찰서,37.6373881,127.0273238
서울강서경찰서,37.5397827,126.8299968
서울관악경찰서,37.4743789,126.9509748
서울광진경찰서,37.542873,127.083821
서울구로경찰서,37.494931,126.886731
서울금천경찰서,37.4814051,126.9099508
서울남대문경찰서,37.5547584,126.9734981
서울노원경찰서,37.6423605,127.0714027
서울도봉경찰서,37.6533589,127.052682
서울동대문경찰서,37.58506149999999,127.0457679
서울동작경찰서,37.5130685,126.9428078
서울마포경찰서,37.550814,126.954028
서울방배경찰서,37.4815453,126.9829992
서울서대문경찰서,37.5647848,126.9667762
서울서부경찰서,37.6128611,126.9274951
서울서초경찰서,37.4956054,127.0052504
서울성동경찰서,37.5617309,127.0363806
서울성북경찰서,37.5897271,127.0161318
서울송파경찰서,0,0
서울수서경찰서,0,0
서울양천경찰서,37.5165667,126.8656763
서울영등포경찰서,0,0
서울용산경찰서,0,0
서울은평경찰서,37.6283597,126.9287226
서울종로경찰서,37.5755578,126.9848674
서울종암경찰서,0,0
서울중랑경찰서,0,0
서울중부경찰서,0,0
서울혜화경찰서,37.5718401,126.9988562
