위치,경도,위도,구
석계,127.0657675,37.6150815,노원구
태릉입구,127.0750345,37.6179085,노원구
화랑대(서울여대입구),127.084244,37.620513,노원구
봉화산(서울의료원),127.091296,37.617372,중랑구
장암,127.052276,37.699655,
청량리(서울시립대입구),127.048958,37.581381,동대문구
외대앞,127.059615,37.595518,동대문구
신이문,127.067347,37.601829,동대문구
도봉산,127.0461945,37.689596,도봉구
수락산,127.055293,37.677881,노원구
마들,127.057614,37.665375,노원구
노원,127.060551,37.654527,노원구
중계,127.063907,37.645494,노원구
하계,127.0725939,37.637576,노원구
공릉(서울과학기술대),127.072894,37.625787,노원구
태릉입구,127.0750345,37.6179085,노원구
먹골,127.077707,37.61078,중랑구
중화,127.079285,37.602572,중랑구
지평,127.6296807,37.4764956,
용문,127.594471,37.482468,
원덕,127.547468,37.468585,
양평,127.492149,37.492778,
오빈,127.474053,37.50606,
국수,127.399501,37.516196,
신원,127.372745,37.52592,
양수,127.328948,37.545998,
운길산,127.310089,37.554659,
팔당,127.243813,37.547376,
도심,127.222798,37.579628,
덕소,127.208547,37.587199,
양정,127.194602,37.604269,
인천,126.616936,37.476364,
산본,126.932969,37.358019,
대야미,126.91716,37.328304,
반월,126.903684,37.312244,
상록수,126.8665333,37.3028447,
한대앞,126.853656,37.309685,
중앙,126.838532,37.316055,
고잔,126.823094,37.316821,
초지,126.806151,37.320583,
안산,126.788748,37.327006,
정왕,126.7271088,37.3486016,
광명사거리,126.8546747,37.4793066,
석계,127.0657675,37.6150815,노원구
광운대,127.061817,37.6237325,노원구
종합운동장,127.073774,37.511051,송파구
봉은사,127.060266,37.514221,강남구
삼성중앙,127.0528466,37.5127824,강남구
선정릉,127.0438167,37.5102747,강남구
언주,127.0344101,37.5073091,강남구
신논현,127.02538,37.504724,강남구
사평,127.014727,37.504525,서초구
고속터미널,127.0049151,37.5049142,서초구
신반포,126.996017,37.503487,서초구
구반포,126.987427,37.501431,서초구
동작(현충원),126.9790995,37.503062,동작구
흑석(중앙대입구),126.9634769,37.5090394,동작구
노들,126.952213,37.513416,동작구
노량진,126.94167,37.514072,동작구
샛강,126.928873,37.516737,영등포구
여의도,126.9243115,37.5215695,영등포구
국회의사당,126.917853,37.528128,영등포구
당산,126.9019901,37.5340278,영등포구
선유도,126.89391,37.537855,영등포구
신목동,126.883077,37.544267,양천구
염창,126.874839,37.546965,강서구
등촌,126.8645185,37.551303,강서구
증미,126.860606,37.558129,강서구
철산,126.8682506,37.4759465,
가산디지털단지,126.8825735,37.48089,금천구
남구로,126.887272,37.486087,구로구
대림(구로구청),126.8957865,37.4930835,영등포구
신풍,126.908969,37.50013,영등포구
사릉,127.176839,37.651145,
퇴계원,127.143858,37.648316,
별내,127.127208,37.64222,
갈매,127.1156625,37.6348265,
신내,127.1032958,37.6126681,중랑구
도화,126.6684603,37.4661538,
중동,126.764474,37.486664,
온수(성공회대입구),126.8236345,37.4921505,구로구
도원,126.642824,37.468604,
간석,126.693408,37.464689,
연신내,126.920842,37.618812,은평구
독바위,126.933037,37.618387,은평구
불광,126.9298435,37.6105025,은평구
역촌,126.9211966,37.607751,은평구
응암,126.915592,37.598472,은평구
마천,127.15279,37.49502,송파구
거여,127.1462058,37.4900434,송파구
개롱,127.1346598,37.4981619,송파구
오금,127.128354,37.5022335,송파구
방이,127.12596,37.508559,송파구
올림픽공원(한국체대),127.13109,37.516628,송파구
둔촌동,127.136231,37.527657,강동구
상일동,127.169184,37.5570545,강동구
고덕,127.15411,37.555051,강동구
명일,127.144014,37.55131,강동구
굽은다리(강동구민회관앞),127.142906,37.545539,강동구
길동,127.139992,37.537769,강동구
강동,127.132187,37.53594,강동구
보라매,126.920282,37.499929,영등포구
신대방삼거리,126.928189,37.499717,동작구
장승배기,126.939191,37.504905,동작구
상도,126.9377193,37.4989895,동작구
숭실대입구(살피재),126.953504,37.496374,동작구
남성,126.970673,37.484876,동작구
이수,126.981876,37.486491,동작구
내방,126.993598,37.487707,서초구
고속터미널,127.0049151,37.5049142,서초구
도농,127.161105,37.608756,
구리,127.1432928,37.6033064,
양원,129.09113,36.963209,
망우,127.092882,37.598603,중랑구
상봉(시외버스터미널),127.0858527,37.5952536,중랑구
중랑,127.076152,37.594948,중랑구
회기,127.057977,37.589756,동대문구
신창(순천향대),126.950129,36.769213,
가양,126.854244,37.561553,강서구
양천향교,126.841909,37.568105,강서구
마곡나루,126.8271565,37.566876,강서구
신방화,126.8166665,37.5675046,강서구
공항시장,126.8086965,37.5623155,강서구
월계,127.058835,37.633114,노원구
녹천,127.051406,37.644599,노원구
창동,127.0433646,37.648965,도봉구
방학,127.044295,37.66747,도봉구
도봉,127.045521,37.679441,도봉구
도봉산,127.0461945,37.689596,도봉구
망월사,127.04736,37.710499,
회룡,127.0472035,37.724522,
의정부,127.0458908,37.7387295,
가능,127.044251,37.748362,
온양온천,127.0037072,36.7804187,
배방,127.052751,36.77754,
아산,127.104708,36.793231,
반포,127.011847,37.508213,서초구
논현,127.021728,37.511206,강남구
학동,127.0315341,37.5135304,강남구
강남구청,127.0411685,37.517473,강남구
청담,127.051937,37.51912,강남구
뚝섬유원지,127.066691,37.531537,광진구
건대입구,127.069236,37.540389,광진구
어린이대공원(세종대),127.074593,37.547905,광진구
군자(능동),127.079578,37.55737,광진구
중곡,127.084086,37.565535,광진구
용마산,127.086818,37.573793,중랑구
사가정,127.088503,37.580966,중랑구
면목,127.087494,37.588745,중랑구
상봉(시외버스터미널),127.0858527,37.5952536,중랑구
녹양,127.042272,37.759416,
양주,127.044782,37.773956,
덕계,127.056676,37.81876,
덕정,127.061511,37.843216,
지행,127.055734,37.892361,
동두천중앙,127.056409,37.901673,
보산,127.057134,37.914268,
동두천,127.054992,37.926664,
소요산,127.060681,37.947099,
서울역,126.9696195,37.5536067,용산구
신촌,126.942308,37.559768,서대문구
효창공원앞,126.961339,37.539289,용산구
공덕,126.951576,37.54322,마포구
서강대,126.935389,37.552132,마포구
홍대입구,126.9244669,37.557527,마포구
가좌,126.914841,37.56861,마포구
디지털미디어시티,126.9004205,37.5779636,은평구
수색,126.8955434,37.5840042,은평구
화전,126.867937,37.60327,
강매,126.8454369,37.6125959,
행신,126.834059,37.611846,
능곡,126.820845,37.618741,
곡산,126.8017,37.645892,
백마,126.7944,37.658346,
풍산,126.786355,37.672173,
일산,126.77004,37.681997,
탄현,126.761161,37.693882,
오이도,126.738626,37.362241,
수리산,126.925537,37.350297,
북한산우이,127.012778,37.6629,강북구
솔밭공원,127.013259,37.656039,강북구
야당,126.7615354,37.7127491,
운정,126.767152,37.725402,
금릉,126.765664,37.751265,
천호(풍납토성),127.1233835,37.538289,강동구
광나루(장신대),127.103585,37.545383,광진구
아차산(어린이대공원후문),127.090073,37.551204,광진구
군자(능동),127.079578,37.55737,광진구
장한평,127.064657,37.561472,동대문구
답십리,127.052382,37.567072,성동구
마장,127.042965,37.566127,성동구
왕십리(성동구청),127.035505,37.5611284,성동구
행당,127.029637,37.557402,성동구
신금호,127.020794,37.554468,성동구
청구,127.0131005,37.5591145,중구
동대문역사문화공원,127.007765,37.565102,중구
을지로4가,126.9978305,37.5670145,중구
종로3가,126.9912475,37.5715,종로구
광화문(세종문화회관),126.9756429,37.5725254,종로구
서대문,126.96665,37.56577,서대문구
충정로(경기대입구),126.963672,37.560055,서대문구
