사용월,호선명,지하철역,22시-23시 하차인원,23시-24시 하차인원,00시-01시 하차인원,총하차승객수
201712,6호선,석계,29044,22170,7229,87487
201712,6호선,태릉입구,12570,10727,5557,41424
201712,6호선,화랑대(서울여대입구),24162,18149,6128,72601
201712,6호선,봉화산(서울의료원),20226,15075,5376,60903
201712,경원선,청량리(서울시립대입구),18835,12971,5764,56405
201712,경원선,외대앞,22279,18313,5118,67989
201712,경원선,신이문,20030,14740,3671,58471
201712,7호선,도봉산,24940,20254,9076,79210
201712,7호선,수락산,28177,21105,8330,85789
201712,7호선,마들,24335,18575,7465,74710
201712,7호선,노원,24326,19604,7372,75628
201712,7호선,중계,28369,20972,6960,84670
201712,7호선,하계,36353,27875,9895,110476
201712,7호선,공릉(서울과학기술대),21727,17802,6475,67731
201712,7호선,태릉입구,13764,9950,5136,42614
201712,7호선,먹골,21071,15492,4775,62409
201712,7호선,중화,22046,15422,5194,64708
201712,경원선,석계,23931,17129,4470,69461
201712,경원선,광운대,16720,14413,7941,55794
201712,9호선2단계,종합운동장,11242,8039,2816,33339
201712,9호선2단계,봉은사,7585,4901,1414,21485
201712,9호선2단계,삼성중앙,4805,3439,1113,14162
201712,9호선2단계,선정릉,6684,4796,2365,20529
201712,9호선2단계,언주,7321,5307,2202,22151
201712,9호선,신논현,28603,17788,5786,80780
201712,9호선,사평,4783,3192,1101,13859
201712,9호선,고속터미널,22719,13965,3650,63053
201712,9호선,신반포,5265,3471,1150,15151
201712,9호선,구반포,4166,2762,803,11897
201712,9호선,동작(현충원),2047,1617,1191,6902
201712,9호선,흑석(중앙대입구),14482,11046,3729,43739
201712,9호선,노들,9599,6230,1954,27382
201712,9호선,노량진,47818,33039,9601,138276
201712,9호선,샛강,3911,2733,1239,11794
201712,9호선,여의도,8550,6275,2229,25604
201712,9호선,국회의사당,4144,3188,1128,12604
201712,9호선,당산,34833,25201,9786,104653
201712,9호선,선유도,8303,5869,1986,24461
201712,9호선,신목동,8117,6543,2417,25194
201712,9호선,염창,38201,30024,8925,115351
201712,9호선,등촌,17982,13645,4377,53986
201712,9호선,증미,10124,7561,2580,30389
201712,7호선,가산디지털단지,11581,8387,3175,34724
201712,7호선,남구로,23259,12719,3258,62495
201712,7호선,대림(구로구청),16902,8315,1925,44044
201712,7호선,신풍,21982,13502,4517,61983
201712,경춘선,신내,585,436,174,1780
201712,경인선,온수(성공회대입구),12381,9439,2203,36404
201712,6호선,연신내,0,0,0,0
201712,6호선,독바위,7081,5062,2251,21475
201712,6호선,불광,8406,6284,2142,25238
201712,6호선,역촌,8626,7085,2212,26549
201712,6호선,응암,41128,29524,10298,122078
201712,5호선,마천,9758,6670,3117,29303
201712,5호선,거여,12461,7943,3525,36390
201712,5호선,개롱,13274,8915,3872,39335
201712,5호선,오금,4800,4277,1504,15381
201712,5호선,방이,9284,7762,2519,28849
201712,5호선,올림픽공원(한국체대),5713,5486,1308,18220
201712,5호선,둔촌동,16269,11681,2596,46815
201712,5호선,상일동,20808,17016,4119,62751
201712,5호선,고덕,17029,11710,3759,49527
201712,5호선,명일,17508,12086,4332,51434
201712,5호선,굽은다리(강동구민회관앞),20108,13705,4974,58895
201712,5호선,길동,12659,9584,3601,38503
201712,5호선,강동,33706,24200,10677,102289
201712,7호선,보라매,12708,8993,3395,37804
201712,7호선,신대방삼거리,29702,20556,7598,87558
201712,7호선,장승배기,19511,13226,4711,56959
201712,7호선,상도,18935,14545,4551,56966
201712,7호선,숭실대입구(살피재),25587,19268,6156,76598
201712,7호선,남성,21098,15234,5246,62676
201712,7호선,이수,22344,14368,5154,64210
201712,7호선,내방,14012,9307,4548,41879
201712,7호선,고속터미널,8364,5582,1518,23828
201712,중앙선,망우,12816,9976,2602,38210
201712,중앙선,상봉(시외버스터미널),11153,7617,2731,32654
201712,중앙선,중랑,11233,7219,1579,31264
201712,중앙선,회기,51523,37416,11795,152257
201712,9호선,가양,40639,30319,10517,122114
201712,9호선,양천향교,16516,13015,4902,50949
201712,9호선,마곡나루,11614,9446,3222,35896
201712,9호선,신방화,17131,13943,4813,53018
201712,9호선,공항시장,6848,5463,2217,21376
201712,경원선,월계,7055,5325,1516,20951
201712,경원선,녹천,8635,7315,2089,26674
201712,경원선,창동,0,0,0,0
201712,경원선,방학,13882,10698,2589,41051
201712,경원선,도봉,9586,7448,2085,28705
201712,경원선,도봉산,6832,5900,2352,21916
201712,7호선,반포,5475,3609,1147,15706
201712,7호선,논현,11772,8105,3153,34802
201712,7호선,학동,8129,6734,2599,25591
201712,7호선,강남구청,7075,5358,2663,22171
201712,7호선,청담,11361,7823,5160,35705
201712,7호선,뚝섬유원지,14962,10628,2592,43144
201712,7호선,건대입구,16736,10685,6488,50645
201712,7호선,어린이대공원(세종대),16241,11717,3998,48197
201712,7호선,군자(능동),16200,11216,3669,47285
201712,7호선,중곡,18376,13384,4189,54325
201712,7호선,용마산,14575,10231,3777,43158
201712,7호선,사가정,31412,20605,7726,91155
201712,7호선,면목,31399,23373,7574,93745
201712,7호선,상봉(시외버스터미널),28826,22234,9534,89420
201712,경의선,서울역,134,1524,158,1950
201712,경의선,신촌,285,436,90,1096
201712,경의선,효창공원앞,3682,2601,533,10498
201712,경의선,공덕,3319,2158,641,9437
201712,경의선,서강대,1988,1593,371,5940
201712,경의선,홍대입구,2482,1990,380,7334
201712,경의선,가좌,6463,5891,1279,20096
201712,경의선,디지털미디어시티,3596,2851,780,10823
201712,경의선,수색,1802,1703,570,5877
201712,우이신설선,북한산우이,2851,2183,1129,9014
201712,우이신설선,솔밭공원,3683,3206,998,11570
201712,5호선,천호(풍납토성),28598,19598,6670,83464
201712,5호선,광나루(장신대),20724,14874,3995,60317
201712,5호선,아차산(어린이대공원후문),25489,16886,5046,72910
201712,5호선,군자(능동),24864,18253,8844,76825
201712,5호선,장한평,26991,19864,6352,80198
201712,5호선,답십리,28693,19993,5700,83079
201712,5호선,마장,8934,6180,1785,25833
201712,5호선,왕십리(성동구청),6697,4478,3008,20880
201712,5호선,행당,16273,10857,3635,47038
