ณฏยฅ, ฦ๒ฑีฑโฟย, รึฐํฑโฟย, รึภ๚ฑโฟย, ฦ๒ฑีฟ๎ทฎ, ภฯฐญผ๖ทฎ
2016-1-1, 1.2กษ, 4.0กษ, -3.3กษ, 7.0,  -
2016-1-2, 5.7กษ, 9.5กษ, 1.0กษ, 7.8,  -
2016-1-3, 6.5กษ, 9.4กษ, 5.1กษ, 7.5,  -
2016-1-4, 2.0กษ, 5.3กษ, -2.5กษ, 4.4,  -
2016-1-5, -2.7กษ, 1.5กษ, -4.8กษ, 3.4,  -
2016-1-6, -1.7กษ, 1.7กษ, -4.9กษ, 6.0,  -
2016-1-7, -3.4กษ, 1.4กษ, -5.9กษ, 0.3,  -
2016-1-8, -3.3กษ, 1.0กษ, -6.9กษ, 0.5,  -
2016-1-9, -2.1กษ, 2.4กษ, -6.2กษ, 4.1,  -
2016-1-10, 0.3กษ, 3.8กษ, -2.7กษ, 2.6,  -
2016-1-11, -3.8กษ, 0.9กษ, -6.5กษ, 1.1,  -
2016-1-12, -5.2กษ, 0.7กษ, -9.1กษ, 0.5,  -
2016-1-13, -4.5กษ, 0.1กษ, -8.2กษ, 5.5, 0.4mm
2016-1-14, -3.4กษ, 1.3กษ, -8.4กษ, 4.0, 0.0mm
2016-1-15, -0.4กษ, 5.3กษ, -4.3กษ, 3.1,  -
2016-1-16, -0.2กษ, 2.8กษ, -2.1กษ, 7.1, 0.1mm
2016-1-17, 1.7กษ, 5.4กษ, -0.7กษ, 6.6,  -
2016-1-18, -6.3กษ, 0.4กษ, -12.3กษ, 6.0, 0.2mm
2016-1-19, -12.8กษ, -8.9กษ, -15.1กษ, 0.5,  -
2016-1-20, -10.5กษ, -5.2กษ, -14.5กษ, 1.9,  -
2016-1-21, -7.1กษ, -2.3กษ, -10.2กษ, 3.9,  -
2016-1-22, -7.6กษ, -3.8กษ, -11.1กษ, 5.4,  -
2016-1-23, -11.5กษ, -8.3กษ, -16.0กษ, 3.5, 0.0mm
2016-1-24, -14.4กษ, -10.5กษ, -18.0กษ, 0.0,  -
2016-1-25, -9.4กษ, -3.4กษ, -14.3กษ, 0.9,  -
2016-1-26, -3.3กษ, 1.7กษ, -8.5กษ, 6.1, 0.3mm
2016-1-27, -1.1กษ, 4.3กษ, -4.7กษ, 2.4,  -
2016-1-28, -0.5กษ, 3.5กษ, -5.6กษ, 6.5,  -
2016-1-29, 1.9กษ, 5.4กษ, -1.4กษ, 7.5,  -
2016-1-30, 0.6กษ, 5.2กษ, -2.5กษ, 4.5,  -
2016-1-31, -3.9กษ, 0.3กษ, -6.5กษ, 3.1,  -
2016-2-1, -6.0กษ, -1.0กษ, -9.1กษ, 0.4,  -
2016-2-2, -5.3กษ, 0.9กษ, -10.0กษ, 0.0,  -
2016-2-3, -2.4กษ, 4.0กษ, -8.3กษ, 1.8,  -
2016-2-4, -0.7กษ, 3.9กษ, -4.0กษ, 2.9,  -
2016-2-5, -2.2กษ, 3.4กษ, -6.8กษ, 1.6,  -
2016-2-6, -3.1กษ, 2.0กษ, -6.2กษ, 0.0,  -
2016-2-7, -2.9กษ, 3.5กษ, -8.3กษ, 1.0,  -
2016-2-8, 1.3กษ, 5.5กษ, -4.3กษ, 6.9,  -
2016-2-9, 0.3กษ, 5.5กษ, -3.9กษ, 0.5,  -
2016-2-10, 2.7กษ, 10.7กษ, -4.3กษ, 0.0,  -
2016-2-11, 8.1กษ, 13.5กษ, 1.6กษ, 6.0, 0.1mm
2016-2-12, 8.4กษ, 10.0กษ, 6.8กษ, 10.0, 18.0mm
2016-2-13, 11.0กษ, 14.4กษ, 5.8กษ, 9.9, 21.0mm
2016-2-14, -2.6กษ, 5.8กษ, -6.8กษ, 7.8, 2.5mm
2016-2-15, -5.8กษ, -2.3กษ, -10.0กษ, 1.5, 0.0mm
2016-2-16, -2.7กษ, 1.1กษ, -6.7กษ, 3.8, 0.8mm
2016-2-17, 0.0กษ, 5.4กษ, -5.2กษ, 0.1,  -
2016-2-18, 3.5กษ, 7.8กษ, -1.4กษ, 5.4,  -
2016-2-19, 2.3กษ, 4.4กษ, 0.1กษ, 6.8,  -
2016-2-20, 1.3กษ, 6.3กษ, -2.5กษ, 1.9,  -
2016-2-21, -0.6กษ, 4.4กษ, -4.2กษ, 3.0,  -
2016-2-22, 1.1กษ, 4.2กษ, -2.2กษ, 9.5, 0.0mm
2016-2-23, 0.7กษ, 4.5กษ, -4.5กษ, 4.3, 0.9mm
2016-2-24, -3.0กษ, 2.2กษ, -6.8กษ, 0.3,  -
2016-2-25, -0.2กษ, 5.7กษ, -5.8กษ, 2.4,  -
2016-2-26, 2.2กษ, 7.5กษ, -3.2กษ, 3.0, 0.0mm
2016-2-27, 3.3กษ, 8.1กษ, 0.5กษ, 6.6, 0.2mm
2016-2-28, 0.7กษ, 6.9กษ, -2.6กษ, 6.1, 4.1mm
