날짜, 평균기온, 최고기온, 평균운량, 일강수량
2017-1-1, 2.7℃, 6.9℃, 7.0,  -
2017-1-2, 5.0℃, 9.2℃, 7.6, 0.3mm
2017-1-3, 2.0℃, 7.7℃, 1.1,  -
2017-1-4, 3.9℃, 8.9℃, 2.6,  -
2017-1-5, 3.8℃, 7.3℃, 8.4,  -
2017-1-6, 5.4℃, 11.4℃, 4.1,  -
2017-1-7, 4.6℃, 10.5℃, 3.0,  -
2017-1-8, 6.5℃, 10.9℃, 8.1, 0.0mm
2017-1-9, 1.5℃, 4.3℃, 4.3, 0.0mm
2017-1-10, -3.7℃, 1.1℃, 0.8,  -
2017-1-11, -3.8℃, 1.5℃, 1.9,  -
2017-1-12, -2.2℃, 1.0℃, 2.1, 0.0mm
2017-1-13, -6.0℃, -1.4℃, 1.8, 0.6mm
2017-1-14, -8.4℃, -5.4℃, 0.0,  -
2017-1-15, -6.6℃, -0.9℃, 0.0,  -
2017-1-16, -3.8℃, 4.0℃, 0.1,  -
2017-1-17, -2.0℃, 3.4℃, 4.4,  -
2017-1-18, -0.5℃, 2.8℃, 4.0, 0.0mm
2017-1-19, -1.2℃, 4.7℃, 6.3,  -
2017-1-20, -4.4℃, -1.4℃, 4.8, 4.0mm
2017-1-21, -5.2℃, -0.9℃, 5.3, 2.1mm
2017-1-22, -8.3℃, -3.3℃, 0.0, 0.0mm
2017-1-23, -8.9℃, -4.1℃, 0.0,  -
2017-1-24, -7.0℃, -1.3℃, 0.0,  -
2017-1-25, -5.2℃, 0.9℃, 0.0,  -
2017-1-26, -1.3℃, 3.4℃, 6.9, 0.3mm
2017-1-27, -2.6℃, 3.1℃, 1.6, 3.0mm
2017-1-28, -1.6℃, 4.3℃, 6.6,  -
2017-1-29, 0.8℃, 2.5℃, 9.6, 4.5mm
2017-1-30, -4.8℃, -0.9℃, 2.9, 0.1mm
2017-1-31, -5.4℃, 0.2℃, 3.1,  -
2017-2-1, -4.0℃, 0.7℃, 1.4,  -
2017-2-2, -2.7℃, 3.3℃, 1.3,  -
2017-2-3, 1.5℃, 6.7℃, 2.3,  -
2017-2-4, 0.9℃, 3.2℃, 7.0,  -
2017-2-5, 1.2℃, 2.3℃, 7.3, 0.5mm
2017-2-6, -1.7℃, 2.6℃, 0.0,  -
2017-2-7, -2.0℃, 3.0℃, 5.3,  -
2017-2-8, -2.2℃, 0.6℃, 6.8,  -
2017-2-9, -5.3℃, -2.1℃, 1.5,  -
2017-2-10, -6.6℃, -2.5℃, 0.9,  -
2017-2-11, -4.8℃, 0.8℃, 0.3,  -
2017-2-12, -2.2℃, 4.2℃, 0.0,  -
2017-2-13, 0.1℃, 6.1℃, 4.3,  -
2017-2-14, 0.3℃, 6.5℃, 0.0,  -
2017-2-15, 1.8℃, 8.0℃, 0.0,  -
2017-2-16, 5.5℃, 10.3℃, 5.8, 0.0mm
2017-2-17, 0.8℃, 9.0℃, 3.1, 4.0mm
2017-2-18, -2.6℃, 2.9℃, 0.6,  -
2017-2-19, 2.3℃, 5.7℃, 7.0, 1.0mm
2017-2-20, -1.5℃, 5.4℃, 2.5, 0.5mm
2017-2-21, -0.6℃, 6.9℃, 4.5,  -
2017-2-22, 1.7℃, 2.9℃, 9.9, 5.1mm
2017-2-23, -1.5℃, 2.1℃, 1.1,  -
2017-2-24, -0.8℃, 4.4℃, 2.1,  -
2017-2-25, 2.6℃, 8.4℃, 1.8,  -
2017-2-26, 3.6℃, 10.1℃, 0.1,  -
2017-2-27, 3.7℃, 10.7℃, 0.0,  -
2017-2-28, 5.6℃, 12.3℃, 2.1,  -
2017-3-1, 5.0℃, 11.4℃, 9.8, 5.0mm
2017-3-2, 1.8℃, 6.6℃, 4.1, 0.5mm
2017-3-3, 3.3℃, 10.4℃, 1.3,  -
2017-3-4, 5.7℃, 12.7℃, 0.1,  -
2017-3-5, 5.2℃, 10.4℃, 6.1, 0.5mm
2017-3-6, 0.1℃, 4.0℃, 0.5,  -
2017-3-7, -1.3℃, 2.9℃, 1.0, 0.0mm
2017-3-8, -0.1℃, 5.0℃, 2.8, 0.0mm
2017-3-9, 3.2℃, 10.7℃, 0.8,  -
2017-3-10, 4.8℃, 12.2℃, 0.1,  -
2017-3-11, 7.3℃, 16.7℃, 3.0,  -
2017-3-12, 8.2℃, 14.0℃, 9.0, 0.0mm
2017-3-13, 6.9℃, 12.2℃, 3.4,  -
2017-3-14, 5.8℃, 10.9℃, 0.5,  -
2017-3-15, 6.3℃, 13.3℃, 0.1,  -
2017-3-16, 6.2℃, 13.4℃, 3.0,  -
2017-3-17, 7.7℃, 15.7℃, 1.9,  -
2017-3-18, 9.5℃, 16.1℃, 3.5,  -
2017-3-19, 10.9℃, 18.9℃, 0.3,  -
2017-3-20, 10.2℃, 15.5℃, 8.3,  -
2017-3-21, 7.4℃, 12.6℃, 2.0,  -
2017-3-22, 7.6℃, 14.1℃, 4.8,  -
2017-3-23, 9.1℃, 15.0℃, 4.6,  -
2017-3-24, 8.7℃, 15.2℃, 6.8,  -
