"메인 키","기관 코드","기관 명","전화번호","우편번호","행정 시","행정 구","행정 동"
"BE_LiST32-0074","1332685","Baeksan Patrol Division","02-805-0112","08564","Seoul","Geumcheon-gu","Siheung4-dong"
"BE_LiST32-0220","1329922","Seoul Eunpyeong Police Station","182","03338","Seoul","Eunpyeong-gu","Bulgwang2-dong"
"BE_LiST32-0221","1334829","Daejo Police Box","02-350-1938","03396","Seoul","Eunpyeong-gu","Daejo-dong"
"BE_LiST32-0222","1331517","Bulgwang Patrol Division","02-350-1922","03347","Seoul","Eunpyeong-gu","Bulgwang2-dong"
"BE_LiST32-0223","1334828","Yeokchon Police Box","02-350-1934","03417","Seoul","Eunpyeong-gu","Yeokchon-dong"
"BE_LiST32-0224","1331518","Yeonsinnae Patrol Division","02-350-1926","03325","Seoul","Eunpyeong-gu","Galhyeon2-dong"
"BE_LiST32-0225","1335594","Jingwan Police Box","02-350-1930","03302","Seoul","Eunpyeong-gu","Jingwan-dong"
"BE_LiST32-0226","1329275","Seoul Jongno Police Station","182","03147","Seoul","Jongno-gu","Jongno1.2.3.4ga-dong"
"BE_LiST32-0227","1334729","Gwansu Police Box","02-2285-4248","03191","Seoul","Jongno-gu","Jongno1.2.3.4ga-dong"
"BE_LiST32-0228","1332874","Gyonam Police Box","02-732-4023","03165","Seoul","Jongno-gu","Gyonam-dong"
"BE_LiST32-0229","1334120","Sajik Police Box","02-735-8410","03027","Seoul","Jongno-gu","Sajik-dong"
"BE_LiST32-0230","1331386","Samcheong Police Box","02-732-1034","03053","Seoul","Jongno-gu","Samcheong-dong"
"BE_LiST32-0231","1334730","Segeomjeong Police Box","02-391-7694","03017","Seoul","Jongno-gu","Buam-dong"
"BE_LiST32-0232","1333997","Sejongno Police Box","02-720-7075","04519","Seoul","Jung-gu","Myeong-dong"
"BE_LiST32-0233","1334119","Sinmunno Police Box","02-736-6079","03175","Seoul","Jongno-gu","Sajik-dong"
"BE_LiST32-0234","1331389","Okin Police Box","02-732-1067","03035","Seoul","Jongno-gu","Cheongunhyoja-dong"
"BE_LiST32-0235","1334728","Jongno 2(i)-ga Police Box","02-763-0112","03140","Seoul","Jongno-gu","Jongno1.2.3.4ga-dong"
"BE_LiST32-0236","1331388","Cheongun Police Box","02-732-1055","03047","Seoul","Jongno-gu","Cheongunhyoja-dong"
"BE_LiST32-0237","1334235","Cheongjin Police Box","02-732-1114","03153","Seoul","Jongno-gu","Jongno1.2.3.4ga-dong"
"BE_LiST32-0238","1331387","Tongui Police Box","02-732-1045","03044","Seoul","Jongno-gu","Sajik-dong"
"BE_LiST32-0239","1334731","Pyeongchang Police Box","02-379-6356","03011","Seoul","Jongno-gu","Pyeongchang-dong"
"BE_LiST32-0240","1329768","Seoul Jongam Police Station","182","02803","Seoul","Seongbuk-gu","Jongam-dong"
"BE_LiST32-0241","1335595","Seokgwan Police Box","02-960-3094","02790","Seoul","Seongbuk-gu","Seokgwan-dong"
"BE_LiST32-0242","1335586","Wolgok Patrol Division","02-919-9696","02739","Seoul","Seongbuk-gu","Wolgok1-dong"
"BE_LiST32-0243","1331486","Jangwi Patrol Division","02-919-9438","02769","Seoul","Seongbuk-gu","Jangwi2-dong"
"BE_LiST32-0244","1334807","Jongam Police Box","02-925-0680","02803","Seoul","Seongbuk-gu","Jongam-dong"
"BE_LiST32-0245","1329641","Seoul Jungnang Police Station","182","02055","Seoul","Jungnang-gu","Sinnae1-dong"
"BE_LiST32-0246","1332357","Mangu Patrol Division","02-434-8608","02086","Seoul","Jungnang-gu","Mangubon-dong"
