일 자,이용실적(건),데이터기준일자
2016-03-02,4,2016-12-31
2016-03-03,23,2016-12-31
2016-03-04,32,2016-12-31
2016-03-07,30,2016-12-31
2016-03-08,33,2016-12-31
2016-03-09,43,2016-12-31
2016-03-10,44,2016-12-31
2016-03-11,55,2016-12-31
2016-03-14,35,2016-12-31
2016-03-15,53,2016-12-31
2016-03-16,53,2016-12-31
2016-03-17,54,2016-12-31
2016-03-18,62,2016-12-31
2016-03-21,36,2016-12-31
2016-03-22,58,2016-12-31
2016-03-23,52,2016-12-31
2016-03-24,59,2016-12-31
2016-03-25,58,2016-12-31
2016-03-28,49,2016-12-31
2016-03-29,53,2016-12-31
2016-03-30,58,2016-12-31
2016-03-31,48,2016-12-31
2016-04-01,55,2016-12-31
2016-04-04,39,2016-12-31
2016-04-05,67,2016-12-31
2016-04-06,64,2016-12-31
2016-04-07,71,2016-12-31
2016-04-08,75,2016-12-31
2016-04-11,48,2016-12-31
2016-04-12,69,2016-12-31
2016-04-14,71,2016-12-31
2016-04-15,62,2016-12-31
2016-04-18,46,2016-12-31
2016-04-19,62,2016-12-31
2016-04-20,66,2016-12-31
2016-04-21,71,2016-12-31
2016-04-22,59,2016-12-31
2016-04-25,47,2016-12-31
2016-04-26,62,2016-12-31
2016-04-27,64,2016-12-31
2016-04-28,71,2016-12-31
2016-04-29,57,2016-12-31
2016-05-02,39,2016-12-31
2016-05-03,57,2016-12-31
2016-05-04,67,2016-12-31
2016-05-09,45,2016-12-31
2016-05-10,64,2016-12-31
2016-05-11,62,2016-12-31
2016-05-12,63,2016-12-31
2016-05-13,61,2016-12-31
2016-05-16,50,2016-12-31
2016-05-17,77,2016-12-31
2016-05-18,70,2016-12-31
2016-05-19,75,2016-12-31
2016-05-20,70,2016-12-31
2016-05-23,55,2016-12-31
2016-05-24,83,2016-12-31
2016-05-25,79,2016-12-31
2016-05-26,72,2016-12-31
2016-05-27,81,2016-12-31
2016-05-30,49,2016-12-31
2016-05-31,77,2016-12-31
2016-06-01,64,2016-12-31
2016-06-02,75,2016-12-31
2016-06-03,65,2016-12-31
2016-06-07,64,2016-12-31
2016-06-08,72,2016-12-31
2016-06-09,73,2016-12-31
2016-06-10,50,2016-12-31
2016-06-13,45,2016-12-31
2016-06-14,67,2016-12-31
2016-06-15,69,2016-12-31
2016-06-16,75,2016-12-31
2016-06-17,59,2016-12-31
2016-06-20,44,2016-12-31
2016-06-21,63,2016-12-31
2016-06-22,68,2016-12-31
2016-06-23,64,2016-12-31
2016-06-24,70,2016-12-31
2016-06-27,42,2016-12-31
2016-06-28,58,2016-12-31
2016-06-29,61,2016-12-31
2016-06-30,57,2016-12-31
2016-07-01,44,2016-12-31
2016-07-04,39,2016-12-31
2016-07-05,67,2016-12-31
2016-07-06,80,2016-12-31
2016-07-07,64,2016-12-31
2016-07-08,57,2016-12-31
2016-07-11,39,2016-12-31
2016-07-12,73,2016-12-31
2016-07-13,73,2016-12-31
2016-07-14,75,2016-12-31
2016-07-15,77,2016-12-31
2016-07-18,51,2016-12-31
2016-07-19,72,2016-12-31
2016-07-20,70,2016-12-31
2016-07-21,69,2016-12-31
2016-07-22,70,2016-12-31
2016-07-25,39,2016-12-31
2016-07-26,62,2016-12-31
2016-07-27,66,2016-12-31
2016-07-28,68,2016-12-31
2016-07-29,75,2016-12-31
2016-08-01,44,2016-12-31
2016-08-02,65,2016-12-31
2016-08-03,61,2016-12-31
2016-08-04,62,2016-12-31
2016-08-05,74,2016-12-31
2016-08-08,44,2016-12-31
2016-08-09,67,2016-12-31
2016-08-10,77,2016-12-31
2016-08-11,75,2016-12-31
2016-08-12,62,2016-12-31
2016-08-16,70,2016-12-31
2016-08-17,69,2016-12-31
2016-08-18,76,2016-12-31
2016-08-19,63,2016-12-31
2016-08-22,54,2016-12-31
2016-08-23,73,2016-12-31
2016-08-24,65,2016-12-31
2016-08-25,77,2016-12-31
2016-08-26,76,2016-12-31
2016-08-29,48,2016-12-31
2016-08-30,60,2016-12-31
2016-08-31,77,2016-12-31
2016-09-01,80,2016-12-31
2016-09-02,72,2016-12-31
2016-09-05,51,2016-12-31
2016-09-06,80,2016-12-31
2016-09-07,77,2016-12-31
2016-09-08,79,2016-12-31
2016-09-09,76,2016-12-31
2016-09-12,52,2016-12-31
2016-09-13,52,2016-12-31
2016-09-19,52,2016-12-31
2016-09-20,74,2016-12-31
2016-09-21,71,2016-12-31
2016-09-22,67,2016-12-31
2016-09-23,59,2016-12-31
2016-09-26,48,2016-12-31
2016-09-27,61,2016-12-31
2016-09-28,68,2016-12-31
2016-09-29,62,2016-12-31
2016-09-30,67,2016-12-31
2016-10-04,64,2016-12-31
2016-10-05,59,2016-12-31
2016-10-06,57,2016-12-31
2016-10-07,61,2016-12-31
2016-10-10,40,2016-12-31
2016-10-11,58,2016-12-31
2016-10-12,53,2016-12-31
2016-10-13,53,2016-12-31
2016-10-14,54,2016-12-31
2016-10-17,35,2016-12-31
2016-10-18,51,2016-12-31
2016-10-19,46,2016-12-31
2016-10-20,53,2016-12-31
2016-10-21,46,2016-12-31
2016-10-24,39,2016-12-31
2016-10-25,59,2016-12-31
2016-10-26,57,2016-12-31
2016-10-27,56,2016-12-31
2016-10-28,56,2016-12-31
2016-10-31,42,2016-12-31
2016-11-01,63,2016-12-31
2016-11-02,75,2016-12-31
2016-11-03,74,2016-12-31
2016-11-04,80,2016-12-31
2016-11-07,49,2016-12-31
2016-11-08,71,2016-12-31
2016-11-09,74,2016-12-31
2016-11-10,68,2016-12-31
2016-11-11,71,2016-12-31
2016-11-14,53,2016-12-31
2016-11-15,75,2016-12-31
2016-11-16,75,2016-12-31
2016-11-17,74,2016-12-31
2016-11-18,40,2016-12-31
2016-11-21,47,2016-12-31
2016-11-22,82,2016-12-31
2016-11-23,75,2016-12-31
2016-11-24,65,2016-12-31
2016-11-25,36,2016-12-31
2016-11-28,48,2016-12-31
2016-11-29,66,2016-12-31
2016-11-30,64,2016-12-31
2016-12-01,76,2016-12-31
