운영년월,근무인원,귀가지원 유형,월지원건수,관리기관 연락처,관리기관명,데이터기준일자
2015-01,12,도보,269,02-450-7079,서울특별시 광진구청,2017-04-01
2015-02,11,도보,224,02-450-7079,서울특별시 광진구청,2017-04-01
2015-03,13,도보,322,02-450-7079,서울특별시 광진구청,2017-04-01
2015-04,13,도보,670,02-450-7079,서울특별시 광진구청,2017-04-01
2015-05,13,도보,567,02-450-7079,서울특별시 광진구청,2017-04-01
2015-06,13,도보,647,02-450-7079,서울특별시 광진구청,2017-04-01
2015-07,13,도보,765,02-450-7079,서울특별시 광진구청,2017-04-01
2015-08,13,도보,860,02-450-7079,서울특별시 광진구청,2017-04-01
2015-90,13,도보,702,02-450-7079,서울특별시 광진구청,2017-04-01
2015.10,13,도보,566,02-450-7079,서울특별시 광진구청,2017-04-01
2015.11,13,도보,541,02-450-7079,서울특별시 광진구청,2017-04-01
2015.12,12,도보,504,02-450-7079,서울특별시 광진구청,2017-04-01
2016-01,12,도보,307,02-450-7079,서울특별시 광진구청,2017-04-01
2016-02,10,도보,229,02-450-7079,서울특별시 광진구청,2017-04-01
2016-03,11,도보,296,02-450-7079,서울특별시 광진구청,2017-04-01
2016-04,11,도보,496,02-450-7079,서울특별시 광진구청,2017-04-01
2016-05,11,도보,595,02-450-7079,서울특별시 광진구청,2017-04-01
2016-06,11,도보,706,02-450-7079,서울특별시 광진구청,2017-04-01
2016-07,11,도보,641,02-450-7079,서울특별시 광진구청,2017-04-01
2016-08,11,도보,637,02-450-7079,서울특별시 광진구청,2017-04-01
2016-09,11,도보,615,02-450-7079,서울특별시 광진구청,2017-04-01
2016.10,11,도보,610,02-450-7079,서울특별시 광진구청,2017-04-01
2016.11,11,도보,455,02-450-7079,서울특별시 광진구청,2017-04-01
2016.12,11,도보,403,02-450-7079,서울특별시 광진구청,2017-04-01
2017-01,11,도보,356,20-450-7568,서울특별시 광진구청,2017-04-01
2017-02,11,도보,357,20-450-7568,서울특별시 광진구청,2017-04-01
2017-03,11,도보,476,20-450-7568,서울특별시 광진구청,2017-04-01
2017-04,10,도보,596,20-450-7568,서울특별시 광진구청,2017-04-01
