날짜,불광역,연신내역,새절역,응암역,역촌역,독바위역,증산역,,,
2016-01-04,4,6,3,4,5,0,0,,,
2016-01-05,6,8,5,7,4,0,0,,,
2016-01-06,5,7,6,6,4,0,0,,,
2016-01-07,5,9,6,5,7,0,0,,,
2016-01-08,5,7,5,6,5,0,0,,,_
2016-01-11,4,6,5,6,3,0,0,,,
2016-01-12,6,8,6,6,7,0,0,,,
2016-01-13,5,8,7,6,6,0,0,,,
2016-01-14,5,8,6,6,6,0,0,,,
2016-01-15,6,7,4,6,7,0,0,,,
2016-01-18,4,6,3,5,4,0,0,,,
2016-01-19,6,6,3,6,6,0,0,,,
2016-01-20,5,7,5,5,5,0,0,,,
2016-01-21,5,7,4,5,3,0,0,,,
2016-01-22,6,8,5,5,5,0,0,,,
2016-01-25,5,5,5,4,3,0,0,,,
2016-01-26,5,8,5,5,5,0,0,,,
2016-01-27,5,7,5,6,5,0,0,,,
2016-01-28,5,8,4,5,5,0,0,,,
2016-01-29,5,8,5,6,5,0,0,,,
2016-02-01,4,4,5,4,6,0,0,,,
2016-02-02,5,7,4,6,5,0,0,,,
2016-02-03,6,7,5,5,4,0,0,,,
2016-02-04,5,7,6,6,4,0,0,,,
2016-02-05,5,6,5,5,4,0,0,,,
2016-02-11,5,6,5,6,6,0,0,,,
2016-02-12,5,6,4,6,3,0,0,,,
2016-02-15,4,4,3,4,3,0,0,,,
2016-02-16,4,7,4,5,5,0,0,,,
2016-02-17,5,6,5,6,5,0,0,,,
2016-02-18,5,7,4,6,5,0,0,,,
2016-02-19,5,7,4,6,3,0,0,,,
2016-02-22,4,6,3,4,2,0,0,,,
2016-02-23,5,6,5,6,5,0,0,,,
2016-02-24,5,6,4,6,5,0,0,,,
2016-02-25,5,6,5,6,3,0,0,,,
2016-02-26,5,7,5,6,7,0,0,,,
2016-02-29,4,4,4,4,2,0,0,,,
2016-03-02,5,5,5,2,1,0,0,,,
2016-03-03,4,6,4,3,,2,0,,,
2016-03-04,4,3,6,2,2,0,2,,,
2016-03-07,3,3,7,2,,1,1,,,
2016-03-08,6,2,6,4,3,1,2,,,
2016-03-09,5,2,7,7,2,6,3,,,
2016-03-10,7,8,7,6,2,4,3,,,
2016-03-11,7,7,8,7,6,6,7,,,
2016-03-14,4,4,5,4,4,6,3,,,
2016-03-15,6,6,7,5,4,2,4,,,
2016-03-16,8,9,8,7,5,7,5,,,
2016-03-17,8,9,8,6,6,2,5,,,
2016-03-18,8,7,8,6,7,7,6,,,
2016-03-21,5,4,6,5,3,2,3,,,
2016-03-22,4,4,6,5,4,4,3,,,
2016-03-23,10,9,8,5,6,6,5,,,
2016-03-24,9,8,6,5,6,6,5,,,
2016-03-25,8,9,7,6,7,6,6,,,
2016-03-28,6,6,6,4,4,4,4,,,
2016-03-29,10,6,6,4,4,5,4,,,
2016-03-30,10,9,9,7,5,5,5,,,
2016-03-31,10,9,8,7,7,10,5,,,
2016-04-01,12,8,8,9,10,6,9,,,
2016-04-04,8,7,6,4,7,4,5,,,
2016-04-05,10,10,10,9,10,5,10,,,
2016-04-06,10,10,7,8,10,7,10,,,
2016-04-07,10,11,9,10,10,7,10,,,
2016-04-08,9,10,9,7,10,7,10,,,
2016-04-11,8,5,7,7,6,4,6,,,
2016-04-12,8,10,9,9,10,7,10,,,
2016-04-14,10,10,9,9,10,7,10,,,
2016-04-15,12,10,8,10,10,7,10,,,
2016-04-18,5,6,6,6,6,6,6,,,
2016-04-19,10,10,9,9,10,7,10,,,
2016-04-20,9,9,7,8,10,8,10,,,
2016-04-21,12,10,8,10,10,7,10,,,
2016-04-22,11,10,10,10,10,7,10,,,
2016-04-25,7,6,6,5,6,7,6,,,
2016-04-26,10,9,9,10,10,7,10,,,
2016-04-27,10,10,9,10,10,8,10,,,
2016-04-28,12,10,10,9,10,8,10,,,
2016-04-29,8,10,9,10,10,8,10,,,
2016-05-02,8,6,5,5,6,4,6,,,
2016-05-03,10,8,7,9,10,6,8,,,
2016-05-04,12,10,9,8,10,5,10,,,
2016-05-09,7,6,6,5,6,5,6,,,
2016-05-10,12,10,9,10,10,6,10,,,
2016-05-11,12,9,9,9,10,6,10,,,
2016-05-12,9,10,9,10,10,9,10,,,
2016-05-13,8,8,8,8,10,6,10,,,
2016-05-16,8,6,6,5,6,5,6,,,
2016-05-17,9,10,9,10,8,8,10,,,
2016-05-18,11,11,10,10,10,6,10,,,
2016-05-19,11,9,9,10,10,6,10,,,
2016-05-20,9,8,10,10,10,7,10,,,
2016-05-23,6,6,7,7,6,6,6,,,
2016-05-24,9,10,9,10,10,7,10,,,
2016-05-25,9,10,9,9,10,6,10,,,
2016-05-26,10,10,9,8,10,8,10,,,
2016-05-27,11,10,9,10,10,8,10,,,
2016-05-30,7,6,7,7,6,6,6,,,
2016-05-31,9,9,9,7,10,7,10,,,
