연번,시작일,종료일,귀가지원건수
1,1. 4.,1.8.,87
2,1.11.,1.15.,79
3,1.18.,1.22.,46
4,1.25.,1.29.,68
5,2. 1.,2. 5.,71
6,2.11.,2.12.,31
7,2.25.,2.19.,64
8,2.21.,2.26.,66
9,2.29.,3. 4.,42
10,3.7.,3.11.,62
11,3.12.,3.18.,66
12,3.21.,3.25.,81
13,3.28.,4.1.,72
14,4. 4.,4. 8.,103
15,4.11.,4.15.,86
16,4.18.,4.22.,102
17,4.25.,4.29.,103
18,5. 2.,5. 6.,49
19,5. 9.,5. 13.,118
20,5.16.,5.20.,120
21,5.23.,5.27.,125
22,5.30.,6. 3.,108
23,6.6.,6.10.,104
24,6.13.,6.17.,125
25,6.20.,6.24.,134
26,6.27.,7.1.,126
27,7.4.,7.8.,108
28,7.11.,7.15.,116
29,7.18.,7.22.,115
30,7.25.,7.29.,126
31,8.1.,8.5.,128
32,8.8.,8.12.,121
33,8.15.,8.19.,94
34,8.22,8.26,117
35,8.29,8.31,64
36,9.1,9.2,49
37,9.5.,9.9.,122
38,9.12.,9.16.,46
39,9.19.,9.23.,119
40,9.26.,10.1.,115
41,10.3.,10.7.,62
42,10.10.,10.14.,92
43,10.17.,10.21.,121
44,10.24.,10.28.,110
45,10.31.,11.4.,116
46,11.7.,11.11.,110
47,11.14.,11.18.,112
48,11.21.,11.25.,105
49,11.28.,12.2.,114
50,12.5.,12.9.,102
51,12.12.,12.16.,102
52,12.19.,12.23.,100
53,12.26.,12.30.,104
