 2010년 , 남 6세이하 , 남 12세이하 , 남 15세이하 , 남 20세이하 , 남 30세이하 , 남 40세이하 , 남 50세이하 , 남 60세이하 , 남 60세초과 , 여 6세이하 , 여 12세이하 , 여 15세이하 , 여 20세이하 , 여 30세이하 , 여 40세이하 , 여 50세이하 , 여 60세이하 , 여 60세초과 , 불상 
 절도 , 13 , 243 , 836 ," 5,461 "," 26,900 "," 40,453 "," 41,388 "," 25,924 "," 13,078 ", 16 , 105 , 388 ," 3,523 "," 13,371 "," 18,834 "," 23,818 "," 14,250 "," 7,260 "," 24,406 "
 장물 , - , 1 , 9 , 35 , 118 , 289 , 267 , 179 , 64 , - , 1 , 1 , 11 , 61 , 61 , 91 , 56 , 30 , 816 
 사기 , 4 , 16 , 344 ," 3,275 "," 15,696 "," 24,709 "," 32,896 "," 24,415 "," 11,973 ", 1 , 10 , 173 ," 1,638 "," 6,378 "," 10,292 "," 17,760 "," 13,386 "," 5,732 "," 12,366 "
 횡령 , - , 7 , 18 , 270 ," 1,354 "," 3,163 "," 5,061 "," 3,740 "," 1,846 ", 2 , 7 , 10 , 177 , 664 , 841 ," 1,313 ", 919 , 405 ," 1,915 "
 배임 , 1 , - , - , 3 , 43 , 321 , 812 , 773 , 453 , - , - , - , - , 21 , 106 , 277 , 262 , 129 , 693 
 손괴 , 3 , 2 , 8 , 293 ," 5,014 "," 8,487 "," 9,307 "," 6,704 "," 3,153 ", 1 , - , 6 , 113 ," 1,630 "," 3,011 "," 4,989 "," 3,016 "," 1,058 "," 3,147 "
 살인 , 11 , 5 , 5 , 17 , 74 , 156 , 232 , 119 , 81 , 9 , 6 , 4 , 12 , 60 , 87 , 140 , 82 , 65 , 83 
 강도 , 1 , 8 , 127 , 308 , 367 , 369 , 364 , 304 , 148 , 1 , 4 , 49 , 206 , 539 , 346 , 410 , 258 , 163 , 330 
 방화 , 1 , 1 , 1 , 7 , 69 , 188 , 359 , 222 , 157 , - , - , - , 9 , 41 , 120 , 216 , 152 , 93 , 119 
 강간 , 12 , 78 , 53 , 114 , 173 , 109 , 104 , 50 , 9 , 127 , 953 ," 1,467 "," 4,159 "," 6,381 "," 2,054 "," 1,737 ", 727 , 253 ," 1,209 "
 폭행 , 35 , 261 , 968 ," 4,609 "," 9,568 "," 11,455 "," 15,901 "," 11,334 "," 4,087 ", 15 , 78 , 391 ," 1,733 "," 5,102 "," 5,985 "," 8,842 "," 4,713 "," 1,702 "," 16,912 "
 상해 , 21 , 159 , 731 ," 2,586 "," 6,217 "," 7,232 "," 9,948 "," 7,384 "," 3,345 ", 11 , 48 , 228 , 884 ," 3,045 "," 3,828 "," 6,134 "," 3,710 "," 1,885 "," 10,311 "
 협박 , - , 5 , 13 , 28 , 115 , 269 , 473 , 352 , 239 , - , 5 , 19 , 64 , 233 , 341 , 531 , 300 , 129 , 115 
 공갈 , 2 , 184 ," 1,120 ", 682 , 180 , 342 , 472 , 283 , 121 , 2 , 85 , 267 , 103 , 127 , 149 , 300 , 144 , 60 , 470 
 약취와유인 , 6 , 30 , 8 , 5 , 3 , 3 , 1 , 2 , - , 15 , 53 , 32 , 32 , 12 , 10 , 4 , 1 , - , 5 
 체포와감금 , - , 4 , 7 , 8 , 23 , 41 , 69 , 47 , 36 , - , - , 9 , 52 , 122 , 107 , 122 , 39 , 17 , 44 
 폭력행위등(단체등의구성?활동) , - , 12 , 60 , 92 , 215 , 225 , 212 , 131 , 43 , - , 2 , 11 , 24 , 61 , 73 , 124 , 49 , 17 , 270 
 폭력행위등처벌에관한법률위반 , 7 , 250 ," 1,803 "," 3,006 "," 5,495 "," 5,000 "," 5,933 "," 3,545 "," 1,214 ", 2 , 159 ," 1,023 ", 950 ," 1,816 "," 1,814 "," 2,918 "," 1,614 ", 594 ," 7,709 "
 통화 , - , - , - , 6 , 82 , 175 , 182 , 126 , 62 , - , - , 3 , 10 , 78 , 100 , 132 , 68 , 68 , 314 
 유가증권.인지.우표 , 1 , - , - , - , 10 , 56 , 192 , 188 , 61 , - , - , 1 , 3 , 6 , 20 , 33 , 41 , 10 , 103 
 문서 , - , 2 , 1 , 90 , 463 , 813 ," 1,460 "," 1,393 "," 1,136 ", 2 , 1 , 1 , 40 , 311 , 451 , 708 , 600 , 398 , 889 
 인장 , 1 , - , - , 4 , 12 , 10 , 21 , 55 , 14 , - , - , 1 , 1 , 7 , 5 , 9 , 4 , 2 , 15 
 직무유기 , - , - , - , - , 6 , 19 , 49 , 72 , 62 , - , - , - , - , - , 3 , 8 , 11 , 4 , 35 
 직권남용 , - , - , 1 , 2 , 11 , 32 , 48 , 35 , 31 , - , - , - , 1 , 1 , 5 , 7 , 6 , - , 21 
 수뢰 , - , 1 , - , - , 1 , 8 , 35 , 27 , 14 , - , - , - , - , 3 , 3 , 7 , 1 , 2 , 61 
 증뢰 , - , - , - , - , 1 , 1 , 8 , 4 , 2 , - , - , - , - , - , - , - , - , - , 22 
 간통 , - , - , - , - , 37 , 272 , 370 , 152 , 20 , - , - , - , - , 108 , 270 , 264 , 117 , 13 , 49 
 혼인빙자간음 , - , - , - , - , - , - , - , 1 , - , - , - , - , - , 4 , 8 , 8 , - , - , 2 
 기타음란행위 , - , 1 , - , 5 , 4 , 8 , 10 , 8 , 1 , 1 , 29 , 38 , 113 , 145 , 52 , 51 , 18 , 12 , 103 
 도박과복표 , 4 , 3 , 2 , 4 , 15 , 67 , 197 , 165 , 84 , - , - , - , 1 , 2 , 2 , 12 , 24 , 7 , 919 
 신앙 , - , - , - , - , 4 , 11 , 37 , 53 , 78 , - , 1 , - , - , 1 , 4 , 7 , 8 , 10 , 8 
 과실치사상 , 14 , 31 , 24 , 28 , 88 , 111 , 158 , 115 , 66 , 9 , 13 , 7 , 23 , 131 , 94 , 141 , 148 , 144 , 53 
 업무상과실치사상 , 23 , 27 , 13 , 15 , 142 , 334 , 556 , 462 , 303 , 15 , 8 , 2 , 15 , 111 , 118 , 151 , 157 , 145 , 162 
 실화 , - , - , 2 , 6 , 75 , 258 , 432 , 336 , 221 , - , - , - , 4 , 21 , 61 , 135 , 110 , 73 , 160 
 명예 , 1 , 1 , 1 , 39 , 670 ," 1,591 "," 2,484 "," 1,793 "," 1,287 ", - , 4 , 62 , 109 , 401 , 647 ," 1,146 ", 883 , 399 , 481 
 권리행사방해 , - , 1 , 3 , 7 , 185 , 342 , 602 , 479 , 272 , - , 1 , 2 , 6 , 22 , 79 , 184 , 153 , 96 , 289 
 신용업무경매 , - , - , 1 , 82 , 763 ," 1,505 "," 2,536 "," 1,894 ", 743 , - , - , - , 75 , 304 , 764 ," 2,020 "," 1,294 ", 324 , 703 
 주거침입 , - , 1 , 8 , 37 , 262 , 484 , 758 , 565 , 344 , - , 6 , 18 , 136 , 523 , 506 , 795 , 444 , 270 , 308 
 비밀침해 , - , - , - , - , 1 , 1 , 7 , 7 , 8 , - , - , - , - , 2 , 6 , 2 , 2 , - , 1 
 유기 , 12 , 4 , 1 , - , 2 , 3 , 5 , 4 , 8 , 15 , 3 , - , 1 , 1 , 1 , 1 , 2 , 11 , 42 
 낙태 , - , - , - , 2 , 9 , 6 , 8 , 1 , - , - , - , - , 1 , 5 , 5 , - , 1 , - , 6 
 아편 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
 교통방해 , - , - , - , - , 12 , 58 , 139 , 172 , 106 , 1 , - , - , - , 4 , 14 , 27 , 33 , 15 , 100 
 공무방해 , 2 , 1 , 6 , 140 ," 2,078 "," 3,658 "," 3,367 "," 1,255 ", 193 , - , - , - , 23 , 210 , 219 , 336 , 212 , 67 , 622 
 도주와범인은닉 , - , - , - , - , 8 , 7 , 11 , 4 , 3 , - , - , - , - , 2 , 1 , 3 , 1 , - , 21 
 위증과증거인멸 , - , - , - , - , 25 , 140 , 414 , 600 , 441 , - , - , - , - , 6 , 28 , 116 , 175 , 118 , 111 
 무고 , - , 1 , - , 4 , 71 , 285 , 599 , 592 , 373 , - , 1 , - , 1 , 30 , 86 , 176 , 142 , 63 , 152 
 공안을해하는죄 , - , - , - , - , 2 , 3 , 3 , 4 , 1 , - , - , - , - , 1 , - , 1 , 1 , - , 2 
 내란의죄 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
 음용수에관한죄 , - , - , - , - , - , - , 1 , 4 , 5 , - , - , - , - , - , - , 1 , - , 1 , 3 
 일수와수리에관한죄 , - , - , - , - , - , - , 1 , 5 , 1 , - , - , - , - , - , - , 1 , - , - , - 
 기타 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 3 
 가정폭력범죄의처벌등에관한특례법 , - , - , - , - , - , 3 , 1 , 1 , 1 , - , - , - , 1 , 10 , 28 , 42 , 12 , 1 , 11 
 개발제한구역의지정및관리에관한특별조치법 , - , 1 , - , - , - , 14 , 11 , 29 , 13 , - , - , - , - , 1 , 1 , 2 , 1 , 1 , 40 
 개항질서법위반 , - , - , - , - , - , 1 , 4 , 14 , - , - , - , - , - , - , - , - , 1 , - , 14 
 건설기계관리법위반 , - , - , - , 1 , 2 , 9 , 14 , 13 , 4 , - , - , - , - , - , - , - , - , - , 80 
 건설산업기본법위반 , - , - , - , - , 1 , 17 , 24 , 30 , 9 , - , - , - , - , 1 , 3 , 3 , - , - , 15 
 건축법위반 , 1 , - , - , - , 3 , 26 , 51 , 69 , 41 , - , - , - , - , 1 , 5 , 14 , 9 , 9 , 231 
 고용보험법위반 , - , - , - , - , - , - , 2 , 7 , 1 , - , - , - , - , - , - , - , - , - , 5 
 골재채취법위반 , - , - , - , - , - , 3 , 4 , 1 , - , - , - , - , - , - , - , - , - , - , 3 
 공업배치및공장설립에관한법률위반 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
 공유수면관리법위반 , - , - , - , - , - , - , 6 , 1 , 1 , - , 1 , - , - , - , - , - , 1 , - , 17 
 공중위생관리법위반 , - , - , 1 , - , - , 2 , 3 , 1 , 4 , - , - , - , - , 1 , 3 , 5 , 2 , - , 21 
 공직선거법위반 , 1 , - , - , - , 6 , 32 , 125 , 146 , 75 , 1 , - , - , - , - , 5 , 21 , 13 , 10 , 176 
 관세법위반 , - , - , - , - , - , - , - , 2 , - , - , - , - , - , - , - , - , - , - , 2 
 교통사고처리특례법위반 ," 1,113 "," 3,436 "," 1,756 "," 7,987 "," 20,399 "," 23,992 "," 27,071 "," 20,430 "," 14,256 ", 556 ," 1,841 "," 1,070 "," 2,549 "," 8,369 "," 9,357 "," 12,470 "," 9,031 "," 9,374 "," 20,349 "
 국가기술자격법위반 , - , - , - , - , - , 1 , 2 , 2 , 2 , - , - , - , - , - , - , 1 , - , - , 2 
 국가보안법위반 , - , - , - , - , 1 , 2 , 1 , 1 , 1 , - , - , - , - , 1 , - , - , - , - , 15 
 국민연금법위반 , - , - , - , - , - , 1 , 2 , 1 , - , - , - , - , - , - , 1 , 1 , - , - , 1 
 근로기준법위반 , - , - , 5 , 46 , 922 ," 2,354 "," 2,419 "," 1,733 ", 439 , - , - , 2 , 41 , 900 , 788 , 731 , 532 , 101 ," 2,556 "
 낚시어선업법위반 , - , - , - , - , - , 1 , 1 , - , - , - , - , - , - , - , - , - , - , - , 6 
 내수면어업법위반 , - , - , - , - , 1 , 1 , - , 1 , - , - , - , - , - , - , - , - , 1 , - , 6 
 노동조합및노동관계조정법위반 , - , - , - , - , - , 19 , 37 , 22 , 3 , - , - , - , - , - , - , 4 , - , - , 17 
 농산물품질관리법위반 , - , - , - , - , 2 , 5 , 4 , 3 , 3 , - , - , - , - , 2 , 1 , 2 , 4 , - , 9 
 농수산물유통및가격안정에관한법률 , - , - , - , - , - , - , 6 , 6 , - , - , - , - , - , - , - , - , - , - , 1 
 농업협동조합법위반 , - , - , - , - , - , 2 , 5 , 18 , 16 , - , - , - , - , - , - , - , 2 , - , 5 
 농지법위반 , - , - , - , - , 1 , 2 , 11 , 7 , 14 , - , - , - , - , - , 2 , 3 , 2 , - , 28 
 담배사업법위반 , - , - , - , 1 , 2 , 4 , 5 , 4 , 7 , - , - , - , - , - , 1 , 2 , 1 , 1 , 4 
