사용월,호선명,지하철역,22시-23시 하차인원,23시-24시 하차인원,00시-01시 하차인원,총하차승객수,경도,위도,구
201712,6호선,석계,29044,22170,7229,87487,127.0657675,37.6150815,노원구
201712,6호선,태릉입구,12570,10727,5557,41424,127.0750345,37.6179085,노원구
201712,6호선,화랑대(서울여대입구),24162,18149,6128,72601,127.084244,37.620513,노원구
201712,6호선,봉화산(서울의료원),20226,15075,5376,60903,127.091296,37.617372,중랑구
201712,7호선,장암,1085,1093,366,3629,127.052276,37.699655,
201712,경원선,청량리(서울시립대입구),18835,12971,5764,56405,127.048958,37.581381,동대문구
201712,경원선,외대앞,22279,18313,5118,67989,127.059615,37.595518,동대문구
201712,경원선,신이문,20030,14740,3671,58471,127.067347,37.601829,동대문구
201712,7호선,도봉산,24940,20254,9076,79210,127.0461945,37.689596,도봉구
201712,7호선,수락산,28177,21105,8330,85789,127.055293,37.677881,노원구
201712,7호선,마들,24335,18575,7465,74710,127.057614,37.665375,노원구
201712,7호선,노원,24326,19604,7372,75628,127.060551,37.654527,노원구
201712,7호선,중계,28369,20972,6960,84670,127.063907,37.645494,노원구
201712,7호선,하계,36353,27875,9895,110476,127.0725939,37.637576,노원구
201712,7호선,공릉(서울과학기술대),21727,17802,6475,67731,127.072894,37.625787,노원구
201712,7호선,태릉입구,13764,9950,5136,42614,127.0750345,37.6179085,노원구
201712,7호선,먹골,21071,15492,4775,62409,127.077707,37.61078,중랑구
201712,7호선,중화,22046,15422,5194,64708,127.079285,37.602572,중랑구
201712,중앙선,지평,0,0,0,0,127.6296807,37.4764956,
201712,중앙선,용문,3204,2236,1595,10239,127.594471,37.482468,
201712,중앙선,원덕,751,585,353,2440,127.547468,37.468585,
201712,중앙선,양평,4804,5202,2191,17001,127.492149,37.492778,
201712,중앙선,오빈,652,551,257,2112,127.474053,37.50606,
201712,중앙선,국수,1252,907,437,3848,127.399501,37.516196,
201712,중앙선,신원,233,121,61,648,127.372745,37.52592,
201712,중앙선,양수,3128,1961,801,9018,127.328948,37.545998,
201712,중앙선,운길산,778,665,222,2443,127.310089,37.554659,
201712,중앙선,팔당,556,362,109,1583,127.243813,37.547376,
201712,중앙선,도심,4656,3161,1056,13529,127.222798,37.579628,
201712,중앙선,덕소,12160,11000,4740,40060,127.208547,37.587199,
201712,중앙선,양정,659,575,269,2162,127.194602,37.604269,
201712,수인선,인천,1726,1034,480,4966,126.616936,37.476364,
201712,안산선,산본,29846,23586,10046,93324,126.932969,37.358019,
201712,안산선,대야미,6133,4928,1941,19135,126.91716,37.328304,
201712,안산선,반월,8847,6459,2537,26690,126.903684,37.312244,
201712,안산선,상록수,42905,29890,15327,131027,126.8665333,37.3028447,
201712,안산선,한대앞,15934,10914,5300,48082,126.853656,37.309685,
201712,안산선,중앙,26649,22121,10617,86036,126.838532,37.316055,
201712,안산선,고잔,12417,12239,6590,43663,126.823094,37.316821,
201712,안산선,초지,4903,3881,1350,15037,126.806151,37.320583,
201712,안산선,안산,19399,10927,5816,55541,126.788748,37.327006,
201712,안산선,정왕,12802,9872,4593,40069,126.7271088,37.3486016,
201712,7호선,광명사거리,50350,35001,10016,145717,126.8546747,37.4793066,
201712,경원선,석계,23931,17129,4470,69461,127.0657675,37.6150815,노원구
201712,경원선,광운대,16720,14413,7941,55794,127.061817,37.6237325,노원구
201712,9호선2단계,종합운동장,11242,8039,2816,33339,127.073774,37.511051,송파구
201712,9호선2단계,봉은사,7585,4901,1414,21485,127.060266,37.514221,강남구
201712,9호선2단계,삼성중앙,4805,3439,1113,14162,127.0528466,37.5127824,강남구
201712,9호선2단계,선정릉,6684,4796,2365,20529,127.0438167,37.5102747,강남구
201712,9호선2단계,언주,7321,5307,2202,22151,127.0344101,37.5073091,강남구
201712,9호선,신논현,28603,17788,5786,80780,127.02538,37.504724,강남구
201712,9호선,사평,4783,3192,1101,13859,127.014727,37.504525,서초구
201712,9호선,고속터미널,22719,13965,3650,63053,127.0049151,37.5049142,서초구
201712,9호선,신반포,5265,3471,1150,15151,126.996017,37.503487,서초구
201712,9호선,구반포,4166,2762,803,11897,126.987427,37.501431,서초구
201712,9호선,동작(현충원),2047,1617,1191,6902,126.9790995,37.503062,동작구
201712,9호선,흑석(중앙대입구),14482,11046,3729,43739,126.9634769,37.5090394,동작구
201712,9호선,노들,9599,6230,1954,27382,126.952213,37.513416,동작구
201712,9호선,노량진,47818,33039,9601,138276,126.94167,37.514072,동작구
201712,9호선,샛강,3911,2733,1239,11794,126.928873,37.516737,영등포구
201712,9호선,여의도,8550,6275,2229,25604,126.9243115,37.5215695,영등포구
201712,9호선,국회의사당,4144,3188,1128,12604,126.917853,37.528128,영등포구
201712,9호선,당산,34833,25201,9786,104653,126.9019901,37.5340278,영등포구
201712,9호선,선유도,8303,5869,1986,24461,126.89391,37.537855,영등포구
201712,9호선,신목동,8117,6543,2417,25194,126.883077,37.544267,양천구
201712,9호선,염창,38201,30024,8925,115351,126.874839,37.546965,강서구
201712,9호선,등촌,17982,13645,4377,53986,126.8645185,37.551303,강서구
201712,9호선,증미,10124,7561,2580,30389,126.860606,37.558129,강서구
201712,7호선,철산,47143,33657,11235,139178,126.8682506,37.4759465,
201712,7호선,가산디지털단지,11581,8387,3175,34724,126.8825735,37.48089,금천구
201712,7호선,남구로,23259,12719,3258,62495,126.887272,37.486087,구로구
201712,7호선,대림(구로구청),16902,8315,1925,44044,126.8957865,37.4930835,영등포구
201712,7호선,신풍,21982,13502,4517,61983,126.908969,37.50013,영등포구
201712,경춘선,사릉,6517,4422,1118,18574,127.176839,37.651145,
201712,경춘선,퇴계원,5822,4049,1078,16771,127.143858,37.648316,
201712,경춘선,별내,3063,1999,359,8484,127.127208,37.64222,
201712,경춘선,갈매,3104,2182,615,9005,127.1156625,37.6348265,
201712,경춘선,신내,585,436,174,1780,127.1032958,37.6126681,중랑구
201712,경인선,도화,5940,4875,2115,18870,126.6684603,37.4661538,
201712,경인선,중동,18569,15017,4637,56792,126.764474,37.486664,
201712,경인선,온수(성공회대입구),12381,9439,2203,36404,126.8236345,37.4921505,구로구
201712,경인선,도원,4004,2959,2162,13129,126.642824,37.468604,
201712,경인선,간석,12444,9464,3727,38079,126.693408,37.464689,
201712,6호선,연신내,0,0,0,0,126.920842,37.618812,은평구
201712,6호선,독바위,7081,5062,2251,21475,126.933037,37.618387,은평구
201712,6호선,불광,8406,6284,2142,25238,126.9298435,37.6105025,은평구
201712,6호선,역촌,8626,7085,2212,26549,126.9211966,37.607751,은평구
201712,6호선,응암,41128,29524,10298,122078,126.915592,37.598472,은평구
201712,5호선,마천,9758,6670,3117,29303,127.15279,37.49502,송파구
201712,5호선,거여,12461,7943,3525,36390,127.1462058,37.4900434,송파구
201712,5호선,개롱,13274,8915,3872,39335,127.1346598,37.4981619,송파구
201712,5호선,오금,4800,4277,1504,15381,127.128354,37.5022335,송파구
201712,5호선,방이,9284,7762,2519,28849,127.12596,37.508559,송파구
201712,5호선,올림픽공원(한국체대),5713,5486,1308,18220,127.13109,37.516628,송파구
201712,5호선,둔촌동,16269,11681,2596,46815,127.136231,37.527657,강동구
201712,5호선,상일동,20808,17016,4119,62751,127.169184,37.5570545,강동구
201712,5호선,고덕,17029,11710,3759,49527,127.15411,37.555051,강동구
201712,5호선,명일,17508,12086,4332,51434,127.144014,37.55131,강동구
201712,5호선,굽은다리(강동구민회관앞),20108,13705,4974,58895,127.142906,37.545539,강동구
201712,5호선,길동,12659,9584,3601,38503,127.139992,37.537769,강동구
201712,5호선,강동,33706,24200,10677,102289,127.132187,37.53594,강동구
201712,7호선,보라매,12708,8993,3395,37804,126.920282,37.499929,영등포구
201712,7호선,신대방삼거리,29702,20556,7598,87558,126.928189,37.499717,동작구
201712,7호선,장승배기,19511,13226,4711,56959,126.939191,37.504905,동작구
201712,7호선,상도,18935,14545,4551,56966,126.9377193,37.4989895,동작구
201712,7호선,숭실대입구(살피재),25587,19268,6156,76598,126.953504,37.496374,동작구
201712,7호선,남성,21098,15234,5246,62676,126.970673,37.484876,동작구
201712,7호선,이수,22344,14368,5154,64210,126.981876,37.486491,동작구
201712,7호선,내방,14012,9307,4548,41879,126.993598,37.487707,서초구
201712,7호선,고속터미널,8364,5582,1518,23828,127.0049151,37.5049142,서초구
201712,중앙선,도농,16724,15273,4591,53312,127.161105,37.608756,
201712,중앙선,구리,26439,20208,4862,77948,127.1432928,37.6033064,
201712,중앙선,양원,1958,1523,316,5755,129.09113,36.963209,
201712,중앙선,망우,12816,9976,2602,38210,127.092882,37.598603,중랑구
201712,중앙선,상봉(시외버스터미널),11153,7617,2731,32654,127.0858527,37.5952536,중랑구
201712,중앙선,중랑,11233,7219,1579,31264,127.076152,37.594948,중랑구
201712,중앙선,회기,51523,37416,11795,152257,127.057977,37.589756,동대문구
201712,장항선,신창(순천향대),2204,1636,1238,7282,126.950129,36.769213,
201712,9호선,가양,40639,30319,10517,122114,126.854244,37.561553,강서구
201712,9호선,양천향교,16516,13015,4902,50949,126.841909,37.568105,강서구
201712,9호선,마곡나루,11614,9446,3222,35896,126.8271565,37.566876,강서구
201712,9호선,신방화,17131,13943,4813,53018,126.8166665,37.5675046,강서구
201712,9호선,공항시장,6848,5463,2217,21376,126.8086965,37.5623155,강서구
201712,경원선,월계,7055,5325,1516,20951,127.058835,37.633114,노원구
201712,경원선,녹천,8635,7315,2089,26674,127.051406,37.644599,노원구
201712,경원선,창동,0,0,0,0,127.0433646,37.648965,도봉구
201712,경원선,방학,13882,10698,2589,41051,127.044295,37.66747,도봉구
201712,경원선,도봉,9586,7448,2085,28705,127.045521,37.679441,도봉구
201712,경원선,도봉산,6832,5900,2352,21916,127.0461945,37.689596,도봉구
201712,경원선,망월사,13721,10022,3565,41029,127.04736,37.710499,
201712,경원선,회룡,22011,15704,7026,66752,127.0472035,37.724522,
201712,경원선,의정부,25059,18644,11995,80757,127.0458908,37.7387295,
201712,경원선,가능,11782,9063,2610,35237,127.044251,37.748362,
201712,장항선,온양온천,3797,4239,1972,13805,127.0037072,36.7804187,
201712,장항선,배방,1238,1440,650,4566,127.052751,36.77754,
201712,장항선,아산,2194,1616,680,6684,127.104708,36.793231,
201712,7호선,반포,5475,3609,1147,15706,127.011847,37.508213,서초구
201712,7호선,논현,11772,8105,3153,34802,127.021728,37.511206,강남구
201712,7호선,학동,8129,6734,2599,25591,127.0315341,37.5135304,강남구
201712,7호선,강남구청,7075,5358,2663,22171,127.0411685,37.517473,강남구
201712,7호선,청담,11361,7823,5160,35705,127.051937,37.51912,강남구
201712,7호선,뚝섬유원지,14962,10628,2592,43144,127.066691,37.531537,광진구
201712,7호선,건대입구,16736,10685,6488,50645,127.069236,37.540389,광진구
201712,7호선,어린이대공원(세종대),16241,11717,3998,48197,127.074593,37.547905,광진구
201712,7호선,군자(능동),16200,11216,3669,47285,127.079578,37.55737,광진구
201712,7호선,중곡,18376,13384,4189,54325,127.084086,37.565535,광진구
201712,7호선,용마산,14575,10231,3777,43158,127.086818,37.573793,중랑구
201712,7호선,사가정,31412,20605,7726,91155,127.088503,37.580966,중랑구
201712,7호선,면목,31399,23373,7574,93745,127.087494,37.588745,중랑구
201712,7호선,상봉(시외버스터미널),28826,22234,9534,89420,127.0858527,37.5952536,중랑구
201712,경원선,녹양,9106,7076,2586,27874,127.042272,37.759416,
201712,경원선,양주,15408,12207,4997,48020,127.044782,37.773956,
201712,경원선,덕계,3402,3610,915,11329,127.056676,37.81876,
201712,경원선,덕정,10723,11107,2579,35132,127.061511,37.843216,
201712,경원선,지행,13391,10972,4403,42157,127.055734,37.892361,
201712,경원선,동두천중앙,5287,4265,2020,16859,127.056409,37.901673,
201712,경원선,보산,3317,1978,1358,9970,127.057134,37.914268,
201712,경원선,동두천,3570,1880,1216,10236,127.054992,37.926664,
201712,경원선,소요산,1473,1562,1105,5613,127.060681,37.947099,
201712,경의선,서울역,134,1524,158,1950,126.9696195,37.5536067,용산구
201712,경의선,신촌,285,436,90,1096,126.942308,37.559768,서대문구
201712,경의선,효창공원앞,3682,2601,533,10498,126.961339,37.539289,용산구
201712,경의선,공덕,3319,2158,641,9437,126.951576,37.54322,마포구
201712,경의선,서강대,1988,1593,371,5940,126.935389,37.552132,마포구
201712,경의선,홍대입구,2482,1990,380,7334,126.9244669,37.557527,마포구
201712,경의선,가좌,6463,5891,1279,20096,126.914841,37.56861,마포구
201712,경의선,디지털미디어시티,3596,2851,780,10823,126.9004205,37.5779636,은평구
201712,경의선,수색,1802,1703,570,5877,126.8955434,37.5840042,은평구
201712,경의선,화전,2589,2198,922,8298,126.867937,37.60327,
201712,경의선,강매,5550,3909,1786,16795,126.8454369,37.6125959,
201712,경의선,행신,15908,11298,4995,48109,126.834059,37.611846,
201712,경의선,능곡,6478,5329,2818,21103,126.820845,37.618741,
201712,경의선,곡산,630,560,164,1984,126.8017,37.645892,
201712,경의선,백마,13475,11057,2809,40816,126.7944,37.658346,
201712,경의선,풍산,9052,7569,1949,27622,126.786355,37.672173,
201712,경의선,일산,20099,12771,5539,58508,126.77004,37.681997,
201712,경의선,탄현,14466,10804,5414,45150,126.761161,37.693882,
201712,안산선,오이도,16348,13522,6100,52318,126.738626,37.362241,
201712,안산선,수리산,6710,5716,1859,20995,126.925537,37.350297,
201712,우이신설선,북한산우이,2851,2183,1129,9014,127.012778,37.6629,강북구
201712,우이신설선,솔밭공원,3683,3206,998,11570,127.013259,37.656039,강북구
201712,경의선,야당,7050,5698,3105,22903,126.7615354,37.7127491,
201712,경의선,운정,9494,7113,3553,29654,126.767152,37.725402,
201712,경의선,금릉,7989,7255,3693,26926,126.765664,37.751265,
201712,5호선,천호(풍납토성),28598,19598,6670,83464,127.1233835,37.538289,강동구
201712,5호선,광나루(장신대),20724,14874,3995,60317,127.103585,37.545383,광진구
201712,5호선,아차산(어린이대공원후문),25489,16886,5046,72910,127.090073,37.551204,광진구
201712,5호선,군자(능동),24864,18253,8844,76825,127.079578,37.55737,광진구
201712,5호선,장한평,26991,19864,6352,80198,127.064657,37.561472,동대문구
201712,5호선,답십리,28693,19993,5700,83079,127.052382,37.567072,성동구
201712,5호선,마장,8934,6180,1785,25833,127.042965,37.566127,성동구
201712,5호선,왕십리(성동구청),6697,4478,3008,20880,127.035505,37.5611284,성동구
201712,5호선,행당,16273,10857,3635,47038,127.029637,37.557402,성동구
201712,5호선,신금호,10165,7455,2618,30403,127.020794,37.554468,성동구
201712,5호선,청구,6200,4333,1403,18136,127.0131005,37.5591145,중구
201712,5호선,동대문역사문화공원,2078,1623,534,6313,127.007765,37.565102,중구
201712,5호선,을지로4가,1358,854,295,3865,126.9978305,37.5670145,중구
201712,5호선,종로3가,7182,5211,1810,21385,126.9912475,37.5715,종로구
