사용월,호선명,지하철역,22시-23시 하차인원,23시-24시 하차인원,00시-01시 하차인원,총하차승객수,구
201712,6호선,석계,29044,22170,7229,87487,노원구
201712,6호선,태릉입구,12570,10727,5557,41424,노원구
201712,6호선,화랑대(서울여대입구),24162,18149,6128,72601,노원구
201712,6호선,봉화산(서울의료원),20226,15075,5376,60903,중랑구
201712,7호선,장암,1085,1093,366,3629,
201712,경원선,청량리(서울시립대입구),18835,12971,5764,56405,동대문구
201712,경원선,외대앞,22279,18313,5118,67989,동대문구
201712,경원선,신이문,20030,14740,3671,58471,동대문구
201712,7호선,도봉산,24940,20254,9076,79210,도봉구
201712,7호선,수락산,28177,21105,8330,85789,노원구
201712,7호선,마들,24335,18575,7465,74710,노원구
201712,7호선,노원,24326,19604,7372,75628,노원구
201712,7호선,중계,28369,20972,6960,84670,노원구
201712,7호선,하계,36353,27875,9895,110476,노원구
201712,7호선,공릉(서울과학기술대),21727,17802,6475,67731,노원구
201712,7호선,태릉입구,13764,9950,5136,42614,노원구
201712,7호선,먹골,21071,15492,4775,62409,중랑구
201712,7호선,중화,22046,15422,5194,64708,중랑구
201712,중앙선,지평,0,0,0,0,
201712,중앙선,용문,3204,2236,1595,10239,
201712,중앙선,원덕,751,585,353,2440,
201712,중앙선,양평,4804,5202,2191,17001,
201712,중앙선,오빈,652,551,257,2112,
201712,중앙선,국수,1252,907,437,3848,
201712,중앙선,신원,233,121,61,648,
201712,중앙선,양수,3128,1961,801,9018,
201712,중앙선,운길산,778,665,222,2443,
201712,중앙선,팔당,556,362,109,1583,
201712,중앙선,도심,4656,3161,1056,13529,
201712,중앙선,덕소,12160,11000,4740,40060,
201712,중앙선,양정,659,575,269,2162,
201712,수인선,인천,1726,1034,480,4966,
201712,안산선,산본,29846,23586,10046,93324,
201712,안산선,대야미,6133,4928,1941,19135,
201712,안산선,반월,8847,6459,2537,26690,
201712,안산선,상록수,42905,29890,15327,131027,
201712,안산선,한대앞,15934,10914,5300,48082,
201712,안산선,중앙,26649,22121,10617,86036,
201712,안산선,고잔,12417,12239,6590,43663,
201712,안산선,초지,4903,3881,1350,15037,
201712,안산선,안산,19399,10927,5816,55541,
201712,안산선,정왕,12802,9872,4593,40069,
201712,7호선,광명사거리,50350,35001,10016,145717,
201712,경원선,석계,23931,17129,4470,69461,노원구
201712,경원선,광운대,16720,14413,7941,55794,노원구
201712,9호선2단계,종합운동장,11242,8039,2816,33339,송파구
201712,9호선2단계,봉은사,7585,4901,1414,21485,강남구
201712,9호선2단계,삼성중앙,4805,3439,1113,14162,강남구
201712,9호선2단계,선정릉,6684,4796,2365,20529,강남구
201712,9호선2단계,언주,7321,5307,2202,22151,강남구
201712,9호선,신논현,28603,17788,5786,80780,강남구
201712,9호선,사평,4783,3192,1101,13859,서초구
201712,9호선,고속터미널,22719,13965,3650,63053,서초구
201712,9호선,신반포,5265,3471,1150,15151,서초구
201712,9호선,구반포,4166,2762,803,11897,서초구
201712,9호선,동작(현충원),2047,1617,1191,6902,동작구
201712,9호선,흑석(중앙대입구),14482,11046,3729,43739,동작구
201712,9호선,노들,9599,6230,1954,27382,동작구
201712,9호선,노량진,47818,33039,9601,138276,동작구
201712,9호선,샛강,3911,2733,1239,11794,영등포구
201712,9호선,여의도,8550,6275,2229,25604,영등포구
201712,9호선,국회의사당,4144,3188,1128,12604,영등포구
201712,9호선,당산,34833,25201,9786,104653,영등포구
201712,9호선,선유도,8303,5869,1986,24461,영등포구
201712,9호선,신목동,8117,6543,2417,25194,양천구
201712,9호선,염창,38201,30024,8925,115351,강서구
201712,9호선,등촌,17982,13645,4377,53986,강서구
201712,9호선,증미,10124,7561,2580,30389,강서구
201712,7호선,철산,47143,33657,11235,139178,
201712,7호선,가산디지털단지,11581,8387,3175,34724,금천구
201712,7호선,남구로,23259,12719,3258,62495,구로구
201712,7호선,대림(구로구청),16902,8315,1925,44044,영등포구
201712,7호선,신풍,21982,13502,4517,61983,영등포구
201712,경춘선,사릉,6517,4422,1118,18574,
201712,경춘선,퇴계원,5822,4049,1078,16771,
201712,경춘선,별내,3063,1999,359,8484,
201712,경춘선,갈매,3104,2182,615,9005,
201712,경춘선,신내,585,436,174,1780,중랑구
201712,경인선,도화,5940,4875,2115,18870,
201712,경인선,중동,18569,15017,4637,56792,
201712,경인선,온수(성공회대입구),12381,9439,2203,36404,구로구
201712,경인선,도원,4004,2959,2162,13129,
201712,경인선,간석,12444,9464,3727,38079,
201712,6호선,연신내,0,0,0,0,은평구
201712,6호선,독바위,7081,5062,2251,21475,은평구
201712,6호선,불광,8406,6284,2142,25238,은평구
201712,6호선,역촌,8626,7085,2212,26549,은평구
201712,6호선,응암,41128,29524,10298,122078,은평구
201712,5호선,마천,9758,6670,3117,29303,송파구
201712,5호선,거여,12461,7943,3525,36390,송파구
201712,5호선,개롱,13274,8915,3872,39335,송파구
201712,5호선,오금,4800,4277,1504,15381,송파구
201712,5호선,방이,9284,7762,2519,28849,송파구
201712,5호선,올림픽공원(한국체대),5713,5486,1308,18220,송파구
201712,5호선,둔촌동,16269,11681,2596,46815,강동구
201712,5호선,상일동,20808,17016,4119,62751,강동구
201712,5호선,고덕,17029,11710,3759,49527,강동구
201712,5호선,명일,17508,12086,4332,51434,강동구
201712,5호선,굽은다리(강동구민회관앞),20108,13705,4974,58895,강동구
201712,5호선,길동,12659,9584,3601,38503,강동구
201712,5호선,강동,33706,24200,10677,102289,강동구
201712,7호선,보라매,12708,8993,3395,37804,영등포구
201712,7호선,신대방삼거리,29702,20556,7598,87558,동작구
201712,7호선,장승배기,19511,13226,4711,56959,동작구
201712,7호선,상도,18935,14545,4551,56966,동작구
201712,7호선,숭실대입구(살피재),25587,19268,6156,76598,동작구
201712,7호선,남성,21098,15234,5246,62676,동작구
201712,7호선,이수,22344,14368,5154,64210,동작구
201712,7호선,내방,14012,9307,4548,41879,서초구
201712,7호선,고속터미널,8364,5582,1518,23828,서초구
201712,중앙선,도농,16724,15273,4591,53312,
201712,중앙선,구리,26439,20208,4862,77948,
201712,중앙선,양원,1958,1523,316,5755,
201712,중앙선,망우,12816,9976,2602,38210,중랑구
201712,중앙선,상봉(시외버스터미널),11153,7617,2731,32654,중랑구
201712,중앙선,중랑,11233,7219,1579,31264,중랑구
201712,중앙선,회기,51523,37416,11795,152257,동대문구
201712,장항선,신창(순천향대),2204,1636,1238,7282,
201712,9호선,가양,40639,30319,10517,122114,강서구
201712,9호선,양천향교,16516,13015,4902,50949,강서구
201712,9호선,마곡나루,11614,9446,3222,35896,강서구
201712,9호선,신방화,17131,13943,4813,53018,강서구
201712,9호선,공항시장,6848,5463,2217,21376,강서구
201712,경원선,월계,7055,5325,1516,20951,노원구
201712,경원선,녹천,8635,7315,2089,26674,노원구
201712,경원선,창동,0,0,0,0,도봉구
201712,경원선,방학,13882,10698,2589,41051,도봉구
201712,경원선,도봉,9586,7448,2085,28705,도봉구
201712,경원선,도봉산,6832,5900,2352,21916,도봉구
201712,경원선,망월사,13721,10022,3565,41029,
201712,경원선,회룡,22011,15704,7026,66752,
201712,경원선,의정부,25059,18644,11995,80757,
201712,경원선,가능,11782,9063,2610,35237,
201712,장항선,온양온천,3797,4239,1972,13805,
201712,장항선,배방,1238,1440,650,4566,
201712,장항선,아산,2194,1616,680,6684,
201712,7호선,반포,5475,3609,1147,15706,서초구
201712,7호선,논현,11772,8105,3153,34802,강남구
201712,7호선,학동,8129,6734,2599,25591,강남구
201712,7호선,강남구청,7075,5358,2663,22171,강남구
201712,7호선,청담,11361,7823,5160,35705,강남구
201712,7호선,뚝섬유원지,14962,10628,2592,43144,광진구
201712,7호선,건대입구,16736,10685,6488,50645,광진구
201712,7호선,어린이대공원(세종대),16241,11717,3998,48197,광진구
201712,7호선,군자(능동),16200,11216,3669,47285,광진구
201712,7호선,중곡,18376,13384,4189,54325,광진구
201712,7호선,용마산,14575,10231,3777,43158,중랑구
201712,7호선,사가정,31412,20605,7726,91155,중랑구
201712,7호선,면목,31399,23373,7574,93745,중랑구
201712,7호선,상봉(시외버스터미널),28826,22234,9534,89420,중랑구
201712,경원선,녹양,9106,7076,2586,27874,
201712,경원선,양주,15408,12207,4997,48020,
201712,경원선,덕계,3402,3610,915,11329,
201712,경원선,덕정,10723,11107,2579,35132,
201712,경원선,지행,13391,10972,4403,42157,
201712,경원선,동두천중앙,5287,4265,2020,16859,
201712,경원선,보산,3317,1978,1358,9970,
201712,경원선,동두천,3570,1880,1216,10236,
201712,경원선,소요산,1473,1562,1105,5613,
201712,경의선,서울역,134,1524,158,1950,용산구
201712,경의선,신촌,285,436,90,1096,서대문구
201712,경의선,효창공원앞,3682,2601,533,10498,용산구
201712,경의선,공덕,3319,2158,641,9437,마포구
201712,경의선,서강대,1988,1593,371,5940,마포구
201712,경의선,홍대입구,2482,1990,380,7334,마포구
201712,경의선,가좌,6463,5891,1279,20096,마포구
201712,경의선,디지털미디어시티,3596,2851,780,10823,은평구
201712,경의선,수색,1802,1703,570,5877,은평구
201712,경의선,화전,2589,2198,922,8298,
201712,경의선,강매,5550,3909,1786,16795,
201712,경의선,행신,15908,11298,4995,48109,
201712,경의선,능곡,6478,5329,2818,21103,
201712,경의선,곡산,630,560,164,1984,
201712,경의선,백마,13475,11057,2809,40816,
201712,경의선,풍산,9052,7569,1949,27622,
201712,경의선,일산,20099,12771,5539,58508,
201712,경의선,탄현,14466,10804,5414,45150,
201712,안산선,오이도,16348,13522,6100,52318,
201712,안산선,수리산,6710,5716,1859,20995,
201712,우이신설선,북한산우이,2851,2183,1129,9014,강북구
201712,우이신설선,솔밭공원,3683,3206,998,11570,강북구
201712,경의선,야당,7050,5698,3105,22903,
201712,경의선,운정,9494,7113,3553,29654,
201712,경의선,금릉,7989,7255,3693,26926,
201712,5호선,천호(풍납토성),28598,19598,6670,83464,강동구
201712,5호선,광나루(장신대),20724,14874,3995,60317,광진구
201712,5호선,아차산(어린이대공원후문),25489,16886,5046,72910,광진구
201712,5호선,군자(능동),24864,18253,8844,76825,광진구
