"사용일자","노선명","역ID","역명",승차총승객수,하차총승객수,"등록일자"
"20151101","경원선","1017","신이문",6686,6209,"20151203"
"20151101","경원선","1018","석계",8310,8863,"20151203"
"20151101","경원선","1019","광운대",6524,6600,"20151203"
"20151101","경원선","1020","월계",3847,3599,"20151203"
"20151101","경원선","1021","녹천",3316,2783,"20151203"
"20151101","경원선","1901","방학",7471,7241,"20151203"
"20151101","경원선","1902","도봉",4962,4434,"20151203"
"20151101","경원선","1903","도봉산",6981,6524,"20151203"
"20151101","경원선","1904","망월사",6561,7203,"20151203"
"20151101","경원선","1905","회룡",9674,9503,"20151203"
"20151101","경원선","1906","의정부",22603,23231,"20151203"
"20151101","경원선","1907","가능",5671,5344,"20151203"
"20151101","경원선","1908","녹양",3531,3252,"20151203"
"20151101","경원선","1909","양주",7107,6702,"20151203"
"20151101","경원선","1910","덕계",1573,1449,"20151203"
"20151101","경원선","1911","덕정",5040,5200,"20151203"
"20151101","경원선","1912","지행",5771,5817,"20151203"
"20151101","경원선","1913","동두천 중앙",3260,3124,"20151203"
"20151101","경원선","1914","보산",1784,2303,"20151203"
"20151101","경원선","1915","동두천",1770,2634,"20151203"
"20151101","경원선","1916","소요산",9342,7923,"20151203"
"20151101","안산선","1751","산본",12620,13192,"20151203"
"20151101","안산선","1752","대야미",3117,2661,"20151203"
"20151101","안산선","1753","반월",3769,3699,"20151203"
"20151101","안산선","1754","상록수",14998,14844,"20151203"
"20151101","안산선","1755","한대앞",6643,6635,"20151203"
"20151101","안산선","1756","중앙",14460,14461,"20151203"
"20151101","안산선","1757","고잔",7250,7731,"20151203"
"20151101","안산선","1758","초지",3095,2737,"20151203"
"20151101","안산선","1759","안산",18131,17076,"20151203"
"20151101","안산선","1760","신길온천",1320,1220,"20151203"
"20151101","안산선","1761","정왕",6807,8004,"20151203"
"20151101","안산선","1762","오이도",6219,6011,"20151203"
"20151101","안산선","1763","수리산",2899,3017,"20151203"
"20151101","과천선","1450","선바위",5375,4749,"20151203"
"20151101","과천선","1451","경마공원",22067,22660,"20151203"
"20151101","1호선","0150","서울역",53097,45172,"20151203"
"20151101","1호선","0151","시청",16963,16793,"20151203"
"20151101","1호선","0152","종각",25924,20608,"20151203"
"20151101","1호선","0153","종로3가",23769,19962,"20151203"
"20151101","1호선","0154","종로5가",12945,13012,"20151203"
"20151101","1호선","0155","동대문",14825,18294,"20151203"
"20151101","1호선","0156","신설동",10187,9620,"20151203"
"20151101","1호선","0157","제기동",12830,13067,"20151203"
"20151101","1호선","0158","청량리(지하)",24023,24379,"20151203"
"20151101","1호선","0159","동묘앞",13289,13593,"20151203"
"20151101","2호선","0201","시청",12201,11375,"20151203"
"20151101","2호선","0202","을지로입구",33374,30589,"20151203"
"20151101","2호선","0203","을지로3가",9327,8584,"20151203"
"20151101","과천선","1452","대공원",10048,10477,"20151203"
"20151101","과천선","1453","과천",4211,3605,"20151203"
"20151101","과천선","1454","정부과천청사",9973,9702,"20151203"
"20151101","과천선","1455","인덕원",16406,15555,"20151203"
"20151101","과천선","1456","평촌",7735,7590,"20151203"
"20151101","과천선","1457","범계",22363,22131,"20151203"
"20151101","분당선","1023","선릉",2429,4712,"20151203"
"20151101","분당선","1024","한티",8681,9096,"20151203"
"20151101","분당선","1025","도곡",3185,3459,"20151203"
"20151101","분당선","1026","구룡",1151,1296,"20151203"
"20151101","분당선","1027","개포동",2631,2665,"20151203"
"20151101","분당선","1028","대모산입구",2412,2383,"20151203"
"20151101","분당선","1030","수서",4627,4810,"20151203"
"20151101","분당선","1846","수원",7496,4372,"20151203"
"20151101","분당선","1847","서울숲",4576,4615,"20151203"
"20151101","분당선","1848","압구정로데오",8107,8720,"20151203"
"20151101","분당선","1849","강남구청",4006,4970,"20151203"
"20151101","분당선","1850","선정릉",2726,2986,"20151203"
"20151101","분당선","1851","가천대",4904,6013,"20151203"
"20151101","분당선","1852","태평",10500,10332,"20151203"
"20151101","분당선","1853","모란",16713,15996,"20151203"
