"사용일자","노선명","역ID","역명","승차총승객수","하차총승객수","등록일자"
"20170401","3호선","0332","양재(서초구청)","30805","32233","20170404"
"20170401","3호선","0333","매봉","7417","6848","20170404"
"20170401","3호선","0334","도곡","5966","5847","20170404"
"20170401","3호선","0335","대치","12334","10990","20170404"
"20170401","3호선","0336","학여울","6943","7298","20170404"
"20170401","3호선","0337","대청","7653","6920","20170404"
"20170401","3호선","0338","일원","5797","5908","20170404"
"20170401","3호선","0339","수서","15122","15164","20170404"
"20170401","3호선","0340","가락시장","8164","7627","20170404"
"20170401","3호선","0341","경찰병원","5022","4776","20170404"
"20170401","3호선","0342","오금","5519","4975","20170404"
"20170401","4호선","0409","당고개","12094","11264","20170404"
"20170401","4호선","0410","상계","18739","17038","20170404"
"20170401","4호선","0411","노원","22581","25245","20170404"
"20170401","4호선","0412","창동","26382","28346","20170404"
"20170401","4호선","0413","쌍문","29682","25297","20170404"
"20170401","4호선","0414","수유(강북구청)","42036","40446","20170404"
"20170401","4호선","0415","미아(서울사이버대학)","17320","15888","20170404"
"20170401","1호선","0150","서울역","53985","51451","20170404"
"20170401","1호선","0151","시청","29154","29395","20170404"
"20170401","1호선","0152","종각","38620","33389","20170404"
"20170401","1호선","0153","종로3가","37211","35359","20170404"
"20170401","1호선","0154","종로5가","29463","29066","20170404"
"20170401","1호선","0155","동대문","17542","20828","20170404"
"20170401","1호선","0156","신설동","13128","12701","20170404"
"20170401","1호선","0157","제기동","20752","21008","20170404"
"20170401","1호선","0158","청량리(서울시립대입구)","29177","30322","20170404"
"20170401","1호선","0159","동묘앞","13614","14286","20170404"
"20170401","2호선","0201","시청","20779","17434","20170404"
"20170401","2호선","0202","을지로입구","49394","43658","20170404"
"20170401","2호선","0203","을지로3가","13702","12177","20170404"
"20170401","2호선","0204","을지로4가","11383","10750","20170404"
"20170401","2호선","0205","동대문역사문화공원","26302","28569","20170404"
"20170401","2호선","0206","신당","15375","15961","20170404"
"20170401","2호선","0207","상왕십리","10597","9766","20170404"
"20170401","2호선","0208","왕십리(성동구청)","19930","16937","20170404"
"20170401","2호선","0209","한양대","8168","8550","20170404"
"20170401","2호선","0210","뚝섬","12820","12727","20170404"
"20170401","2호선","0211","성수","16392","17513","20170404"
"20170401","2호선","0212","건대입구","50735","56419","20170404"
"20170401","2호선","0213","구의(광진구청)","19322","18533","20170404"
"20170401","2호선","0214","강변(동서울터미널)","52656","52973","20170404"
"20170401","2호선","0215","잠실나루","13210","12637","20170404"
"20170401","2호선","0216","잠실(송파구청)","98951","90952","20170404"
"20170401","2호선","0217","잠실새내","25771","26578","20170404"
"20170401","2호선","0218","종합운동장","20213","22181","20170404"
"20170401","2호선","0219","삼성(무역센터)","41153","41754","20170404"
"20170401","2호선","0220","선릉","31144","26254","20170404"
"20170401","2호선","0221","역삼","23807","25429","20170404"
"20170401","2호선","0222","강남","91477","96335","20170404"
"20170401","2호선","0223","교대(법원.검찰청)","26237","29288","20170404"
"20170401","2호선","0224","서초","16622","15534","20170404"
"20170401","2호선","0225","방배","15768","15585","20170404"
"20170401","2호선","0226","사당","39047","46902","20170404"
"20170401","2호선","0227","낙성대","29473","27063","20170404"
"20170401","5호선","2538","청구","3359","3209","20170404"
"20170401","5호선","2539","신금호","5018","5188","20170404"
"20170401","5호선","2540","행당","6943","5938","20170404"
"20170401","5호선","2541","왕십리(성동구청)","4616","6023","20170404"
"20170401","5호선","2542","마장","5009","4721","20170404"
