"메인 키","기관 코드","유형1","유형2","대표기관명","전체기관명","최하위기관명","대표 전화번호","새 우편번호","지번 주소","도로명 주소","행정 시","행정 구","행정 동"
"BE_LiST32-0183","1334818","경찰","경찰청_파출소","경찰청","경찰청 서울특별시지방경찰청 서울송파경찰서 풍납파출소","풍납파출소","02-3402-6308","05520","","서울특별시 송파구 토성로 64 (풍납동)","서울특별시","송파구","풍납2동"
"BE_LiST32-0133","1334826","경찰","경찰청_파출소","경찰청","경찰청 서울특별시지방경찰청 서울방배경찰서 이수파출소","이수파출소","02-599-3880","06557","","서울특별시 서초구 동광로19길 38 (방배동)","서울특별시","서초구","방배본동"
"BE_LiST32-0134","1329309","경찰","경찰청_경찰서","경찰청","경찰청 서울특별시지방경찰청 서울서대문경찰서","서울서대문경찰서","182","03738","","서울특별시 서대문구 통일로 113 (미근동)","서울특별시","서대문구","충현동"
"BE_LiST32-0135","1334734","경찰","경찰청_파출소","경찰청","경찰청 서울특별시지방경찰청 서울서대문경찰서 남가좌파출소","남가좌파출소","02-335-8305","03692","","서울특별시 서대문구 가재울로4길 51 (남가좌동)","서울특별시","서대문구","남가좌2동"
"BE_LiST32-0136","1334735","경찰","경찰청_파출소","경찰청","경찰청 서울특별시지방경찰청 서울서대문경찰서 북가좌파출소","북가좌파출소","02-335-8306","03677","","서울특별시 서대문구 증가로 244 (북가좌동)","서울특별시","서대문구","북가좌2동"
"BE_LiST32-0137","1331395","경찰","경찰청_지구대","경찰청","경찰청 서울특별시지방경찰청 서울서대문경찰서 신촌지구대","신촌지구대","02-335-8302","03766","","서울특별시 서대문구 신촌역로 22 (대현동)","서울특별시","서대문구","신촌동"
"BE_LiST32-0138","1334736","경찰","경찰청_파출소","경찰청","경찰청 서울특별시지방경찰청 서울서대문경찰서 연희파출소","연희파출소","02-335-8304","03699","","서울특별시 서대문구 연희로25길 73 (연희동)","서울특별시","서대문구","연희동"
"BE_LiST32-0139","1331394","경찰","경찰청_지구대","경찰청","경찰청 서울특별시지방경찰청 서울서대문경찰서 충정로지구대","충정로지구대","02-335-8301","03734","","서울특별시 서대문구 독립문로 25-1 (옥천동)","서울특별시","서대문구","천연동"
"BE_LiST32-0140","1334737","경찰","경찰청_파출소","경찰청","경찰청 서울특별시지방경찰청 서울서대문경찰서 홍은2파출소","홍은2파출소","02-335-8308","03653","","서울특별시 서대문구 연희로 298 (홍은동)","서울특별시","서대문구","홍은2동"
"BE_LiST32-0141","1335592","경찰","경찰청_파출소","경찰청","경찰청 서울특별시지방경찰청 서울서대문경찰서 홍은파출소","홍은파출소","02-335-8303","03611","","서울특별시 서대문구 세검정로1길 112","서울특별시","서대문구","홍은1동"
